Wave,Delay time,Mean (days),Var (days²)
1,Onset to hosp,"7.34 (7.26, 7.41)","81.8 (80.71, 82.91)"
2,Onset to hosp,"7.95 (7.87, 8.03)","94.9 (93.79, 96.13)"
3,Onset to hosp,"7.77 (7.72, 7.82)","83.14 (82.3, 83.83)"
4,Onset to hosp,"5.54 (5.49, 5.58)","75.65 (68.14, 79.33)"
1,Onset to ICU,"12.68 (12.65, 12.7)","876.4 (627.93, 1788.81)"
2,Onset to ICU,"10.83 (10.7, 10.99)","260.15 (254.8, 270.82)"
3,Onset to ICU,"9.17 (9.07, 9.27)","120.48 (118.92, 122.23)"
4,Onset to ICU,"7.84 (7.55, 8.21)","101.9 (101.63, 108.04)"
1,Onset to death,"17.32 (17.23, 17.39)","146.7 (141.68, 152.19)"
2,Onset to death,"18.75 (18.65, 18.84)","169.74 (163.4, 176.47)"
3,Onset to death,"17.47 (17.41, 17.53)","143.94 (139.78, 148.23)"
4,Onset to death,"14.95 (14.75, 15.04)","110.56 (103.3, 119.27)"
1,Hosp. stay,"10.77 (10.63, 10.91)","275.2 (274.28, 276.8)"
2,Hosp. stay,"8.85 (8.75, 8.95)","153.86 (153.02, 154.76)"
3,Hosp. stay,"8.78 (8.69, 8.86)","139.91 (138.42, 141.33)"
4,Hosp. stay,"7.85 (7.7, 8.02)","99.63 (96.54, 103.68)"
1,ICU stay,"16.31 (15.99, 16.64)","674.38 (662.11, 696.2)"
2,ICU stay,"15.39 (15.18, 15.68)","544.58 (540.37, 570.67)"
3,ICU stay,"14.43 (14.25, 14.64)","426.85 (428.59, 430.18)"
4,ICU stay,"12.45 (11.98, 13.12)","276.96 (283.26, 295.0)"
