Wave,Age group,HCR,ICU-CR,CFR,HFR,ICU-FR,HOSP-%,ICU-%,DEATH-%
3,40-49,"0.051 (0.049, 0.052)","0.02 (0.019, 0.021)","0.01 (0.01, 0.011)","0.199 (0.189, 0.208)","0.316 (0.299, 0.334)","16.126 (16.115, 16.137)","17.189 (17.17, 17.208)","10.33 (10.313, 10.346)"
3,50-59,"0.092 (0.091, 0.094)","0.038 (0.037, 0.04)","0.024 (0.023, 0.025)","0.26 (0.251, 0.268)","0.4 (0.385, 0.415)","23.02 (23.007, 23.032)","26.068 (26.046, 26.09)","19.303 (19.281, 19.324)"
3,60-69,"0.156 (0.153, 0.159)","0.067 (0.065, 0.069)","0.056 (0.054, 0.058)","0.359 (0.349, 0.369)","0.51 (0.494, 0.526)","21.126 (21.114, 21.139)","24.708 (24.686, 24.73)","24.456 (24.433, 24.48)"
3,70-79,"0.25 (0.245, 0.256)","0.098 (0.094, 0.101)","0.12 (0.116, 0.124)","0.477 (0.464, 0.49)","0.634 (0.615, 0.654)","13.574 (13.563, 13.584)","14.355 (14.337, 14.373)","20.902 (20.88, 20.924)"
3,80+,"0.387 (0.378, 0.396)","0.082 (0.077, 0.087)","0.237 (0.229, 0.245)","0.61 (0.596, 0.625)","0.717 (0.688, 0.747)","9.81 (9.801, 9.819)","5.623 (5.612, 5.635)","19.348 (19.327, 19.37)"
4,all,"0.028 (0.028, 0.029)","0.004 (0.004, 0.005)","0.006 (0.005, 0.006)","0.187 (0.179, 0.195)","0.337 (0.312, 0.362)",-,-,-
4,0-9,"0.089 (0.084, 0.093)","0.009 (0.007, 0.01)","0.0 (0.0, 0.001)","0.004 (0.001, 0.008)","0.014 (0.0, 0.034)","16.181 (16.156, 16.206)","10.213 (10.162, 10.265)","0.354 (0.345, 0.363)"
4,10-19,"0.011 (0.009, 0.012)","0.001 (0.0, 0.001)","0.0 (0.0, 0.0)","0.019 (0.001, 0.037)","0.0 (0.0, 0.0)","2.47 (2.459, 2.48)","1.323 (1.303, 1.342)","0.236 (0.228, 0.243)"
4,20-29,"0.006 (0.005, 0.006)","0.001 (0.0, 0.001)","0.0 (0.0, 0.0)","0.03 (0.012, 0.048)","0.057 (0.0, 0.134)","3.938 (3.924, 3.951)","2.572 (2.545, 2.599)","0.589 (0.578, 0.601)"
4,30-39,"0.006 (0.005, 0.006)","0.001 (0.0, 0.001)","0.0 (0.0, 0.0)","0.044 (0.024, 0.065)","0.146 (0.038, 0.254)","4.485 (4.471, 4.499)","3.012 (2.983, 3.042)","1.002 (0.987, 1.017)"
4,40-49,"0.008 (0.008, 0.009)","0.001 (0.001, 0.001)","0.001 (0.0, 0.001)","0.075 (0.051, 0.1)","0.155 (0.062, 0.248)","5.103 (5.088, 5.117)","4.262 (4.227, 4.296)","2.004 (1.982, 2.025)"
4,50-59,"0.019 (0.018, 0.021)","0.004 (0.003, 0.004)","0.002 (0.002, 0.003)","0.118 (0.094, 0.142)","0.215 (0.145, 0.286)","8.19 (8.171, 8.208)","9.552 (9.502, 9.602)","5.245 (5.211, 5.278)"
4,60-69,"0.042 (0.039, 0.044)","0.01 (0.009, 0.011)","0.008 (0.007, 0.009)","0.175 (0.153, 0.196)","0.33 (0.276, 0.383)","14.073 (14.049, 14.096)","21.822 (21.752, 21.892)","13.141 (13.089, 13.192)"
4,70-79,"0.115 (0.11, 0.121)","0.023 (0.02, 0.025)","0.027 (0.024, 0.03)","0.223 (0.203, 0.243)","0.403 (0.35, 0.456)","19.548 (19.521, 19.575)","24.247 (24.174, 24.32)","23.217 (23.153, 23.282)"
4,80+,"0.263 (0.253, 0.272)","0.037 (0.033, 0.041)","0.108 (0.102, 0.115)","0.388 (0.368, 0.408)","0.578 (0.524, 0.633)","26.014 (25.984, 26.043)","22.998 (22.926, 23.069)","54.213 (54.137, 54.289)"
