wave,cases,hosp,hosp_lower,hosp_upper,icu,icu_lower,icu_upper,death,death_lower,death_upper
1.0,267794.0,28610.0,0.10676084035467065,0.10691086252142068,9339.0,0.034829271394402374,0.034918370449701676,7084.0,0.026414200289315945,0.026492138164868985
2.0,330186.0,24564.0,0.07433704627869982,0.07445181817951464,8476.0,0.025635794430561125,0.025704965020172707,13195.0,0.03991948994433313,0.04000515858710067
3.0,781276.0,42516.0,0.0543864194552434,0.05445091843815151,15667.0,0.020033163361661402,0.020073021904492942,1697.0,0.002165469115402848,0.0021787063104389804
4.0,304518.0,8584.0,0.02815111999520192,0.02822649971857526,1361.0,0.004454168575759562,0.004484547690602361,6068.0,0.01989474950585863,0.01995839546422524
