,Gamma,Lognormal,Weibull,Exponential,Gamma 3p,Gen Lognormal
Gamma,0.0,-1624.100478201377,1766.9599874166015,5783.40331208671,177975.302247982,-1784.6048850113584
Lognormal,1624.100478201377,0.0,3391.0604656179785,7407.503790288087,179599.40272618338,-160.50440680998145
Weibull,-1766.9599874166015,-3391.0604656179785,0.0,4016.4433246701083,176208.3422605654,-3551.56487242796
Exponential,-5783.40331208671,-7407.503790288087,-4016.4433246701083,0.0,172191.8989358953,-7568.008197098068
Gamma 3p,-177975.302247982,-179599.40272618338,-176208.3422605654,-172191.8989358953,0.0,-179759.90713299336
Gen Lognormal,1784.6048850113584,160.50440680998145,3551.56487242796,7568.008197098068,179759.90713299336,0.0
