alpha[1],alpha[2],alpha[3],alpha[4],beta[1],beta[2],beta[3],beta[4],sigma_alpha,sigma_beta,alpha,beta
2.0019736481115724,2.060740944853551,2.1468537905156686,1.9898906722712713,0.11551634110903987,0.10911342885791485,0.1233270293420594,0.1308524947320941,0.08502972557343445,0.007052396884089786,2.0749572834944807,0.11848564349089148
2.066990095051444,2.0793374007848753,2.0712550703676906,1.9690375026070521,0.11920926611205103,0.1092556293222158,0.11847285158003189,0.13269441688178021,0.0642947215406424,0.011714834376235146,2.070949121635268,0.11885946660059027
2.0658034181750127,2.040327211350552,2.0994769466484176,2.009233645607822,0.11944038423132639,0.10966509859229753,0.12027612699621851,0.13181336250080705,0.05986420410980325,0.008958800494700289,2.052176306954264,0.117048794224492
1.9886794331374609,2.0375184862434605,2.124796433379143,2.032006959565707,0.11422259592946737,0.10938499486906686,0.12193742335825965,0.1352898878266549,0.10528202546352343,0.01259077010221255,2.0684223922189493,0.11791419412595218
2.0196147543968066,2.09479186992307,2.132584591426288,2.019440747823568,0.11643819709957487,0.11078000768402099,0.1219069112923654,0.13558784647759925,0.0440479246735607,0.018405647825158068,2.062114841445018,0.11727538349228438
2.0545599185391787,2.0245906683597363,2.105586957418372,2.0502574584043876,0.11800610664009673,0.10736042450615198,0.12070526017341411,0.135303283610844,0.06377079868557889,0.005709969317684058,2.06805162202268,0.11751842386162069
2.053754453446175,2.0219534918153093,2.1101755525535806,2.054531726571375,0.11882222890270673,0.10782256849053577,0.11982284602047287,0.13463368723523714,0.03833509161326079,0.005023057786894613,2.066243797182038,0.11715994540719124
2.0189475196236457,2.054176058303201,2.14496908087438,2.055961344790244,0.11649326726736274,0.10990338222108947,0.12424094539038931,0.13762302345308572,0.0930957535296307,0.11683380971321491,2.046943230482874,0.116800093980233
2.047404374304693,2.061142692216138,2.108414974386755,2.0775943081091603,0.11556218474813611,0.10848527649944856,0.12187445618382442,0.13690391511572741,0.05696313360746179,0.029166476393212067,2.0896651820787837,0.11864912964291158
2.0990516905149152,2.0337859944692958,2.0860504538455165,2.0720525979010627,0.1193688837301063,0.10813388569832441,0.11893124619975708,0.13680233495473768,0.06664057074281213,0.011298429215641474,2.0823016100894858,0.11874451245423566
2.0225228863724065,2.047362671266706,2.132304030109795,1.978248519093903,0.11419999015717813,0.11005525163055399,0.12228106755545956,0.1334370192609167,0.1532378290249281,0.012909473390502755,2.0635908054870407,0.11717897697131113
2.0691867927843375,2.074223025158051,2.0831549080643343,2.031686921286634,0.11779778774382454,0.11021633547071284,0.11942579575997793,0.14148784675366843,0.023328063726249997,0.012507132195002789,2.067794815337411,0.11788865261591332
2.0543674384712842,2.0488070755184493,2.1018704126362935,2.0802526210484364,0.11867965806408157,0.11054355051818798,0.11936180126466459,0.1389046039623594,0.01674784376485096,0.011577049835315278,2.037005355439707,0.1158002755174823
2.0568310590715204,2.0629501840306474,2.096063755252572,2.064426203493751,0.11892489950695483,0.11038209410594199,0.11946682407678304,0.1397365108355102,0.02140726207994681,0.013303889213773987,2.0757603273381444,0.1180861835316412
2.0032702366471016,2.0488417785796065,2.1276738884033484,1.9684273232627472,0.11721977935106472,0.10790584268205738,0.12095873910228579,0.13077936450141198,0.07249637885627767,0.010022030355979207,2.0709307007745767,0.11817437502803707
2.0636288869883446,2.0556175837850414,2.1293723520022074,2.0088731561506736,0.11867462942234676,0.10867445801202494,0.12129222979832424,0.13365614314805777,0.0604557196419865,0.010140605201019816,2.0453656635620048,0.11612503182227511
2.0536849780351902,2.017473154818007,2.13380171426782,2.0150934694246447,0.11841359436570276,0.10554557962708012,0.12161705684983264,0.13680547701274462,0.09952858380247293,0.020858509039345313,2.033019016221564,0.11537564520901344
2.0393849152150283,2.111230039603522,2.099727137818751,2.0218161288364307,0.11671454287071956,0.11168172841230266,0.12064467129492584,0.13752930022715953,0.05916765804577345,0.009354110305992865,2.0314551363396567,0.11560475336338957
2.043379443243348,2.1062706609926014,2.101600682781259,2.005155261688634,0.11733877289292971,0.11170243371647597,0.12165308628981886,0.13811268688815423,0.027843371790280968,0.008046860597223177,2.1133644036622186,0.12068649271128294
2.037770391780468,2.1296714579714537,2.0857328376283526,2.0664016002429406,0.11824083087223945,0.11449362055692232,0.11715035457913374,0.13440082716344354,0.10838286855645646,0.02846252775124153,2.1127037606194334,0.12026683581368387
2.0434641574895402,2.1410174721631967,2.0818044250770367,2.077340556563039,0.11865870794343233,0.11453582668974006,0.11673657348790259,0.13455469045306304,0.06669505510436342,0.02678835710417126,2.096014097497469,0.11958551580374369
2.0257554969967337,2.154515774092029,2.136432973690243,2.1004792621130814,0.11530068145434447,0.1159554061398721,0.1213733782490184,0.14224496413093374,0.0649194706635862,0.013469183568891107,2.0466338435562865,0.11629311164267019
1.9970453744786363,2.1423618512690368,2.1161691311727178,2.009546733074345,0.11563542725532862,0.11409640262384492,0.12147506846291192,0.13809044389669836,0.11552738304784915,0.012483843389790394,2.0678538561013977,0.11775171960867885
2.051508222644847,1.9957105219663396,2.120311027881586,1.9283681649462123,0.11751307390983598,0.10647389436332298,0.12097187963148628,0.12628052491550118,0.15591907158148063,0.007764604502447911,2.0603651611889813,0.11748209753315027
1.998914709252241,2.1401051335733214,2.0998529996224677,2.070246028600055,0.11737416672836501,0.1142333621356404,0.1198277178455565,0.13859109994432187,0.05607891948374998,0.032408620169187545,2.0591882164941526,0.11759128418229065
