mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],g[1],g[2],g[3],g[4],sigma_mu,sigma_sigma,sigma_g,mu,sigma,g
2.602470747255253,2.738634887413206,2.6391973000767255,2.453713376305283,0.6159816797989452,0.49014912206620154,0.5707983638334596,0.7295625552468901,1.5992471500794387,1.3545286166808745,1.5433532607270208,1.942337954800962,0.13827059271286662,0.07994390878156137,0.3148188721410528,2.6446043720931742,0.6178778197957737,1.6272516418384537
2.639111471901351,2.7399178497758476,2.6663819713034953,2.415762760355287,0.6426596280229301,0.5127666514371865,0.5811940362215894,0.7187744385999002,1.6335838378376617,1.4092334720626387,1.5642715952591453,1.8831247227507908,0.33580809624580416,0.13655623232918335,0.40005607836172874,2.6418848272039988,0.6124584732049735,1.6141403572127802
2.59679243369136,2.7321048831162367,2.6402712090873424,2.4278519636711553,0.647725042469352,0.5253185209590272,0.5643868036119667,0.7356343747848407,1.6764552521088725,1.4229571281804483,1.5320992685510633,1.9838841992478629,0.3586106786999331,0.14751618602217048,0.544772811864422,2.6426995797043724,0.6133647920637691,1.6074475489090763
2.6109778411974074,2.7182527239022067,2.6595103457217877,2.4414044412528906,0.6500177738788373,0.5295688482656975,0.5744458261761354,0.7103437148884165,1.6704020928331187,1.4375677218739111,1.5549826604600532,1.8925147840275414,0.20910589459292309,0.22880596705538,0.4797821310865667,2.6391254426208137,0.6260389292177863,1.6383164708795848
2.620246484272107,2.7421488523783903,2.642117721081709,2.4222799304567513,0.6451514337757241,0.5204461748859046,0.5914582619491907,0.7503720298102755,1.656968188496731,1.4249185716980828,1.5892891536212845,1.989860374141448,0.43053491286822876,0.08285890736422111,0.3689444465596874,2.6397679139101107,0.6247450412081405,1.6467120629864505
2.638621583333978,2.7201522642839397,2.6509605838347583,2.4468006676970173,0.582067237703317,0.5328108379299786,0.5909872361036989,0.6249931522791753,1.527036060033148,1.456708558936687,1.5927256762109314,1.7050568195090072,0.11635878842084924,0.0691447671715787,0.1199525184303342,2.642433549029814,0.6217506979823387,1.6332860207461048
2.6378951847696825,2.749422303760216,2.648645041490046,2.4552557753857505,0.5792117553221109,0.5455111355300504,0.5931108865864938,0.6480003197040713,1.5180904129874464,1.4634332049116852,1.5872088249934684,1.7735380508476086,0.22073221283559682,0.03324099228316506,0.13396769531678993,2.6392928679206733,0.6200914553396332,1.634059665978289
2.62759240086486,2.724425585284287,2.646104853696142,2.421161458795048,0.617167506399307,0.5305853858408675,0.5819195800579057,0.7152822306644193,1.6008287155048397,1.445085958058684,1.5606583764667936,1.9567793012381598,0.7023203752885347,0.291415572498219,1.679790576441912,2.6520033459416217,0.6074449731386865,1.6008911171806726
2.6238619062937185,2.7285876673733473,2.651603895598471,2.422622015749529,0.6162544972177781,0.5203448157705743,0.5771963576424327,0.7437095098675549,1.5910272123633908,1.4182567775026766,1.557725335827274,1.9208836207282913,0.8016454713616809,0.18168165518731672,0.6852843005263503,2.6561937901057817,0.5880520148683465,1.5587876302932422
2.6371256786355173,2.7242753626103076,2.6443052617751808,2.4422448664860723,0.6093687961360975,0.5599891886848599,0.6180407618309364,0.7298912657101934,1.587860620507125,1.4973190216899652,1.6402321985816264,1.9339981605294072,1.0690383319185381,0.052275202762579166,0.4655635618723772,2.652623737572342,0.5991786879845412,1.5828930942410007
2.619021877245775,2.7308643781409194,2.642343670254801,2.426753743344341,0.6191112967818039,0.5354810445896822,0.6011399958501692,0.7013578527596024,1.6134678949615924,1.4541437264997334,1.6025358979373379,1.8870940368248927,1.682786115984545,0.16270932674356364,0.20820248772753644,2.64139611497504,0.6248498251862671,1.6331255236280706
2.62126459786575,2.7364037597624096,2.637229766737015,2.4305725191534275,0.6262482035652881,0.5459282876811342,0.598125137212803,0.7232333793967607,1.6207964410761049,1.4644628198369989,1.596422359818174,1.9002574122343119,1.109126886867421,0.11994408341956929,0.23228328601951695,2.638240703350982,0.61025329750659,1.6031680655367524
2.6245215168171905,2.722002720265129,2.653879124314298,2.4328236700489203,0.634739873351321,0.5250594731668614,0.5899702953155188,0.6739524229697322,1.6385734298342352,1.421759644360249,1.580349610424039,1.7677439414921494,1.161179056104267,0.08719324761244626,1.2785743397589098,2.638383479279435,0.6061072549402455,1.6094844047504702
2.6186264706184597,2.721145482718163,2.6518854056401935,2.4342282378640205,0.6261880823957735,0.5112763827141433,0.58499254435745,0.6394373129820453,1.6414778992651686,1.3932271816615163,1.5642734259943554,1.6754174522191168,0.8551213241957543,0.10777839090640097,0.5141178754472319,2.645475451513777,0.6127842432698807,1.6236426145360356
2.614686318883844,2.72842739274992,2.652267692423713,2.4428667187716004,0.6192311452689533,0.5192072064993523,0.5832214287318628,0.6441513009834811,1.6053460341695054,1.4110477415435505,1.566882087449945,1.745416916162791,1.1763180729075762,0.14362307676902777,0.5818615952646254,2.6337829484047677,0.6245797626226017,1.6336301462714782
2.6187136079873663,2.717638417177271,2.644530861471668,2.4304610955841706,0.6045444574331926,0.5411460578613406,0.6023769392979813,0.7279731056469131,1.5699112420506551,1.468023560555971,1.6061803125888012,1.9633894114282582,0.3611591705617643,0.49246062765130655,0.2051770357745744,2.6359450609052946,0.6258452943596007,1.6372364870281344
2.6151605445568564,2.7299533155027573,2.6540107509549093,2.437537553480304,0.6476746654578679,0.5085171357483139,0.581612400075583,0.6874851421410867,1.6500162459377261,1.4050571070178204,1.5566266087905698,1.7839783480997888,1.552975241927966,0.1022543417724066,0.8112632525603658,2.6466969210090014,0.6061211246327534,1.6070878099585904
2.62287445177543,2.7251801677569114,2.6452000511812344,2.4260898904225208,0.5869077750872326,0.5191344198324664,0.6154007098800626,0.7404183631995426,1.5310312773357388,1.4006031291352707,1.6387895963880759,1.9717854089692093,1.1272731516179182,0.17675489157836974,0.453966106009721,2.6415163815832843,0.6040559962898951,1.5932443895263126
2.643474431249154,2.738098003619631,2.642144414863481,2.4299614453678924,0.5938494260551442,0.5147795148612087,0.6124203093274043,0.7311849196366609,1.5501196695947765,1.3937348142427524,1.6315017734530257,1.987161632361654,1.895315791943386,0.0735051618981244,0.27539665692040527,2.6413819169310377,0.6046911511007138,1.5918734450852172
2.6324528870813415,2.734689936820976,2.64119773862388,2.4240666981525716,0.5955351531882475,0.49507205723139835,0.6056686223137331,0.7283320026834798,1.5423651972758567,1.3858941469805734,1.6240381890055289,1.9028496755387811,1.1233022186009038,0.069527349044155,0.7306444411544908,2.640472493216595,0.6050932591264905,1.5815505321225707
2.61630689101458,2.716700371377359,2.654630385919353,2.4191271170149755,0.6462779589800618,0.5618010257665308,0.5788397354298833,0.6405358440474761,1.653804483365633,1.4921344062977115,1.5514954708318491,1.7027881083895209,1.8772097088402686,0.031848518500678075,0.7456951162253571,2.6466040810108393,0.5980282726115973,1.5901211731147278
2.6149567036536197,2.7172634368492936,2.6542180103185564,2.414362632705017,0.6442342711761937,0.5595188577436029,0.579508527367579,0.6366410727256363,1.6530489609971757,1.5030847694538596,1.5548330215883621,1.6787038037002469,1.8807812563915114,0.037058635911774385,0.7606978911838465,2.6474228084628977,0.5931954050384467,1.5776736543593541
2.6348713094439686,2.7340017169170814,2.648864536481664,2.40514303115071,0.5916574705329639,0.5151878912126312,0.6082256155214545,0.7462484027371956,1.5365737283777445,1.4103593680270663,1.6325379335734618,1.9482460070207515,1.0990772390918677,0.11767722419147185,0.16130538359566188,2.6441019001727937,0.6067731722669709,1.6097564597236125
2.623155996089817,2.7411925834032083,2.6410263006242327,2.4401985342907198,0.6472248773510861,0.5054386442710243,0.5987444544956768,0.7362444992149622,1.660666350546495,1.3892434849271118,1.603900402136532,1.9446140538156422,1.8064415926791106,0.11110299134577892,1.0740546182343962,2.6472397671215786,0.6133102521832557,1.610894676906507
2.6282903268611926,2.733701616747313,2.6565821560722838,2.429014672742003,0.5969078822703932,0.5249119863267317,0.5838396863172445,0.6660417651034313,1.550989076206602,1.4222681256555454,1.5751492920609877,1.8213251136982598,0.30865779622559736,0.0643813324920086,0.33955204759255275,2.646727212766443,0.6013665021902239,1.5852751387621247
2.6280327580268943,2.721139784845578,2.656229405428827,2.4271621270262,0.5943445612105736,0.5278830473013023,0.5827783726981225,0.691760544807789,1.5702673062678143,1.4467365446105862,1.573872863241518,1.8228190994858784,0.36328163884771414,0.05544668026605692,0.21679260670718647,2.645931080600768,0.5931750706103742,1.5619267037552937
2.6266043051464365,2.7330123451599295,2.6455457713463844,2.4335853846851148,0.6210797905782087,0.5375831261650347,0.5960397601560905,0.6666911829851876,1.6192675267190486,1.4647695271953318,1.6033827439857773,1.7380718840725757,0.14275572471111123,0.05402635668005352,0.14695260001377713,2.6433332029810046,0.5899747696054811,1.5795240343676986
2.629174066771349,2.735129901979809,2.647289783511477,2.4299731461136562,0.6132641479523454,0.5283133750976301,0.5882835618890783,0.7089338802420583,1.5780109468247443,1.4419865308913167,1.586782814355066,1.9181919623637924,0.18008867693314398,0.059037158576208316,0.21519171267046092,2.637625986759577,0.607958172641843,1.6129044275501359
2.6275312057233604,2.7307827504686117,2.646961621652876,2.4175493812912707,0.6114810887518469,0.5348963991179778,0.5855937436725454,0.7089792307151006,1.5968372244816385,1.4395171047459911,1.5770045547795624,1.921711362593792,0.14958335812507392,0.059783633741211775,0.2593979295970363,2.6441210195016605,0.6087875337976931,1.5957851647799393
2.625912823249102,2.736934760897904,2.6611327965416427,2.4309863323677527,0.6031447801341736,0.5685228876958298,0.5962792348287849,0.6507126629829587,1.5757327116493252,1.5016919736846983,1.597550706852418,1.7437840797467095,1.3350553589831728,0.06600362971661629,0.18424366000349568,2.644868354435103,0.605049718466159,1.595529205234949
2.6335744965605485,2.7117229473500775,2.6387484044155887,2.4382755429334138,0.6168558612198015,0.5480747107519854,0.5980140587231741,0.7113867428469891,1.6068892323416941,1.4739518482526432,1.5996536265510697,1.9236771348623813,1.9667538888860492,0.0591782480477494,0.48834097049339076,2.651746811042565,0.5981157718899199,1.5790535753619082
2.621141753296842,2.7430309796435193,2.653632961111894,2.45291123231773,0.6153262648321347,0.5326372874818698,0.6028895456671336,0.7091069826388314,1.5803625505807881,1.4492722420169224,1.6031271226758377,1.8690466902211216,0.0765299117349151,0.12850788827884652,0.22849202334594865,2.637693214777788,0.597471086211806,1.5926568315530767
2.6345376162169543,2.737980555518883,2.6486506353795107,2.457897867240532,0.5953986818785141,0.5276797725231585,0.581645029035434,0.6939042888020961,1.57068050844839,1.4383384012319884,1.5767254987061134,1.8401132510901053,0.5693932152240686,0.042872691294612464,0.2393512347806586,2.643595725028223,0.6040268532524095,1.583386204802086
2.6139965064388906,2.728997024295892,2.6477637002732934,2.407790113726845,0.6431535228052755,0.5522704239559953,0.5859305141967837,0.7290939283578612,1.6292167862705544,1.4948388928287137,1.565445922941124,1.9566096981209893,0.7348775576738494,0.192379888448219,0.4621428523321445,2.6505652744002037,0.602914838383752,1.6045588546267615
