mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_mu,sigma_sigma,mu,sigma
2.057156351779892,1.999318538149214,1.993058484990075,1.7985159798084955,0.8546697386108721,0.8210477375628344,0.6375280166053618,0.7250843231519506,0.2647178411496398,0.08482875609600132,2.0070391960856035,0.7490508855196878
2.0683048911722315,2.0197008111790846,1.9928512182010354,1.770001164424635,0.8451604070576646,0.8154774129076425,0.6432752111790013,0.7451553825329404,0.26314618681927215,0.1416212167543888,2.0027340598975516,0.7440731654642591
2.052547796500575,2.024513016910308,1.9862383610679635,1.8120694989918058,0.8364499541825472,0.8283953459356121,0.6365761702418539,0.7471751122257347,0.1300702518556215,0.06366960353091942,2.0027340598975516,0.7440731654642591
2.0684094556752166,2.0161895792789575,1.9988338360716467,1.7529625349865239,0.8466823277997467,0.8164637536196466,0.6426431036225149,0.744006736590946,0.15166301274126695,0.20083790413007077,2.0124634475681837,0.7437637177019164
2.070253549335867,2.0243454233502867,1.9978187664982539,1.7500340706955941,0.8492313102796711,0.813068382960851,0.6451506544475566,0.7509470846177793,0.15898152891406864,0.21911640155930726,2.0117347564275665,0.7455976125942855
2.0584725409173323,2.026447897958207,1.984668112775195,1.7736011860636014,0.8420819707784231,0.8135510158833869,0.6379268366482004,0.7848875382022301,0.2112666807797214,0.3433471742402978,2.0073951069752693,0.7452137388369235
2.071246564785237,2.0193797015143518,1.991667616859284,1.7838018469255799,0.8412666948816281,0.8334847480039352,0.6412215782652402,0.7228607766202613,0.12383906953285813,0.09862738531529665,2.010198410298997,0.7431667946314346
2.0519943168685018,2.0394732516102856,1.9889571705566362,1.7799625585959888,0.8474372263975963,0.817399113889467,0.6403824801163617,0.772410445069693,0.167346061512682,0.09550612711592321,2.00207459160654,0.7414160382270751
2.064155271115587,1.9971446651073543,1.9916569684158474,1.7760289625469947,0.8360083125487557,0.8291036738615951,0.6390760673019684,0.7297172539203208,0.14994453341874883,0.09503722398686748,2.0050261024107483,0.7419527866975683
2.0764709514991058,2.0351095473135654,1.9881293117745655,1.8021036335428016,0.8408791913327863,0.818468553624375,0.6390205674684367,0.7688757578694928,0.13630557921339742,0.10516334726576737,2.003759900148923,0.7476450051570506
2.058699962626769,2.0364224630791488,1.9931695704181907,1.7966661478500383,0.8389696135871352,0.8161346887788359,0.6368963317999917,0.7650600492267535,0.12014846243932369,0.09303967307188638,2.006736575676594,0.7492402846236202
2.056985186903002,2.028365531977721,1.9931768031791879,1.791520637481359,0.8414574765247216,0.8100112556432079,0.6426386430279099,0.7497786791732598,0.14632290609707155,0.05589211649336427,2.006736575676594,0.7492402846236202
2.077083020228519,2.028207788944322,1.9968147171607682,1.7815716331514053,0.845590170508824,0.8352162792954152,0.635668254856624,0.744944454167063,0.14794641228231045,0.1628261318553448,2.0097662831559777,0.7444878857920675
2.0737833352736614,2.029919164760991,1.9869909476231784,1.775997388664185,0.8460645613884714,0.8326707890603414,0.6355143417649299,0.741333837453165,0.17935071915307055,0.18862663303471713,2.0097952592893362,0.745861080283232
2.0500230330551616,2.013134855274612,1.9911902491710283,1.7987805865310664,0.8328622889603676,0.8106521635662293,0.6437748969335985,0.7632038531678618,0.09908412823045279,0.2749050958284626,2.010833078977175,0.7503469517483379
2.0533687003308843,2.009684729237052,2.0001374367855393,1.809186034528334,0.8394145126480684,0.8091201772878477,0.6416129367428965,0.7537104778220824,0.10289422675284972,0.17581909232643825,2.018634050231021,0.7493978249516628
2.0625699817021133,2.033727505984584,1.9900643795508433,1.7863263915734549,0.8430094535557316,0.8366067280889192,0.638895645318983,0.7444285979598675,0.2732977996963811,0.074441993442104,2.018634050231021,0.7493978249516628
2.0622791974532992,2.0177449818124074,1.9922098908975883,1.7857158800725637,0.8410182943163073,0.8133350709235279,0.6433436875961248,0.7436452028062055,0.10212363934260722,0.11643331953057437,2.010944117287155,0.7491641176571567
