mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_mu,sigma_sigma,mu,sigma
2.596148837936573,2.666372441677676,2.6042231136020377,2.4315048257807264,0.7854113755662867,0.7594408264160716,0.7424439524741175,0.7562575116505417,0.0837030765932273,0.017625593019430855,2.602328753695733,0.7629847049329043
2.5813297232958226,2.67760746793355,2.612207228544839,2.451761092254156,0.7786436557928755,0.7646104643934778,0.755705143837984,0.7362315080832356,0.1207151638351131,0.06458143226393344,2.6051863480976816,0.7593696446617355
2.597052838027104,2.6735898079901332,2.6031848689706805,2.399537153275789,0.7835597149874557,0.7569248691199726,0.7585910108091742,0.7405266121179306,0.2041956976327848,0.02342397893785434,2.610893324315981,0.7634533918627118
2.5812431957834603,2.674908433618283,2.613371847311042,2.4603750804834994,0.7665457519841866,0.76745337796606,0.747591417353614,0.7726966733659586,0.123799441085122,0.01312830883583391,2.611582214991687,0.7635798584803375
2.592303756544253,2.6650526960487553,2.6055366401353823,2.4322178638438463,0.780369640147131,0.7562923022543896,0.7579133172577004,0.7420571914500756,0.1059652573394318,0.03999788184594121,2.602216397173664,0.7655200965119743
2.581184599808359,2.6762036769468924,2.6087649470798775,2.4448508328934406,0.7794430156902259,0.7655068026343274,0.7425829091668944,0.7321842803394593,0.09557663125559672,0.01795709913062334,2.608395046536678,0.7602489059885803
2.590440954083175,2.668829811287223,2.6064140211840257,2.4193055013015488,0.7740016821883411,0.7623285181336681,0.7576559433692426,0.765369125046921,0.10972295608119531,0.005848494332212596,2.6105085946643487,0.7590995958519526
2.583082820141987,2.665309616658327,2.6136560947786327,2.4306662009735542,0.7715513842115117,0.7592564546459772,0.7573643723166636,0.7539707437366943,0.15936310305760953,0.008514518820504125,2.6045736331959897,0.7552956538756197
2.597847423396496,2.681491429924885,2.6027874167428475,2.443736409651207,0.7774231659859651,0.7631828836640693,0.7456330220225653,0.7487987663098975,0.12008261133649324,0.02542333180135405,2.6073670340118786,0.7650559633629946
2.6028468702046514,2.678426371370029,2.608010147598916,2.4300417028410117,0.7777905663959873,0.7556560167624684,0.7447775092075593,0.7518834500768432,0.09425110785499419,0.03878162386344402,2.6083119219532223,0.7656581396957476
