,Gamma,Lognormal,Weibull,Exponential,Gamma 3p,Gen Lognormal
Gamma,0.0,-452.56675276352325,1879.4961920992064,8171.469970698672,211586.56158435572,-460.01395408439566
Lognormal,452.56675276352325,0.0,2332.0629448627296,8624.036723462195,212039.12833711924,-7.447201320872409
Weibull,-1879.4961920992064,-2332.0629448627296,0.0,6291.973778599466,209707.0653922565,-2339.510146183602
Exponential,-8171.469970698672,-8624.036723462195,-6291.973778599466,0.0,203415.09161365704,-8631.483924783068
Gamma 3p,-211586.56158435572,-212039.12833711924,-209707.0653922565,-203415.09161365704,0.0,-212046.5755384401
Gen Lognormal,460.01395408439566,7.447201320872409,2339.510146183602,8631.483924783068,212046.5755384401,0.0
