mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],g[1],g[2],g[3],g[4],sigma_mu,sigma_sigma,sigma_g,mu,sigma,g
2.118144294705089,2.0155939909451335,2.007852604391044,1.8230791636253292,0.49658319452746147,0.6575451783052212,0.5779376929533054,0.6581945711245942,1.3059790902145072,1.6018083835645862,1.7957377838394255,1.7590473819590136,1.7366676331985185,0.0856077809548812,0.9552607365335783,2.040326289106021,0.5364724796463985,1.4631189610567081
2.133311021107439,2.0488344724662855,2.009614127579655,1.7448196837120802,0.5205209848710391,0.6209146881668759,0.5718039443863567,0.7615044100594993,1.3462734042159248,1.5150397872360974,1.7767409610082472,2.036787686824753,0.9214993222216424,0.1269849943913612,1.0395504882176323,2.039825435576341,0.5369509888934809,1.4623194134034043
2.126406956306285,2.0257042761497117,2.0053066527613215,1.8057026467552413,0.497434036532686,0.6291472098543409,0.580855952903228,0.7087245667373278,1.3083479773056168,1.5716873901456423,1.804946458282282,1.898449432982329,1.7587850950135058,0.10619620475113727,0.7711571633306284,2.046300737035487,0.5338181759848848,1.472764926580484
2.1231690559602048,2.036131635289139,2.0086816324907995,1.7717622128448018,0.5461129837345355,0.6159554752568877,0.5874966229472937,0.7109226937201325,1.3620901492496649,1.5333105136907654,1.8243609915209371,1.9062858331789232,0.8910258280530011,0.10080589353932631,0.48798805894132896,2.040715586795646,0.5396539677298411,1.4717039508959475
2.12254000946951,2.0397524510777156,2.0022240040599986,1.7634073435926718,0.5036881040882699,0.6370924478797667,0.5782929393583742,0.6975273374424826,1.293928629330976,1.5766331102053723,1.7935975371096844,1.8361529530379097,2.0345269892643585,0.08604875620927765,1.9886591506244087,2.041888681491922,0.5402361168322575,1.4780573200778129
2.1230219590826955,2.030986363078801,2.0052347757019016,1.7782072381282996,0.5474765170310346,0.6644752661278898,0.5678937623313326,0.6694773300205882,1.389988045915964,1.6321525759686115,1.7626641509286292,1.7718072446018909,0.30793047316463085,0.11391734944518675,0.5401880003053144,2.0401382878091177,0.5437471054202729,1.4718529537199243
2.137195624362987,2.029812601334481,2.0078158006730122,1.7812315222806827,0.49855869175100803,0.6307558849473288,0.5640390094403567,0.7267973705356173,1.3062151113981706,1.5654836653887778,1.755769118284047,1.9556120166207847,2.274052598146999,0.09823197462462813,0.8995546171405413,2.04298007101537,0.5377933000454479,1.4849363790633299
2.135805286586412,2.0282614610302123,2.007742124217666,1.77969242934239,0.5021048807258084,0.6546214914539814,0.5649733965611612,0.6101508520872047,1.2954665457429757,1.5886062340983917,1.7490896788925407,1.626679892516288,0.13161629896020136,0.08533427580535836,0.225382629964607,2.0368181080730468,0.5434448723448078,1.4719149423889641
2.1311242044583003,2.038986539529955,1.998366151988682,1.783262572110448,0.514998388239564,0.6456567109778371,0.5756832371004345,0.7040623241687662,1.3136435296505318,1.5807067493030034,1.8092318119189712,1.9022455109712681,0.4210748418757422,0.13444756621623719,0.9418823485060372,2.03974156790102,0.5498934630565616,1.500297338736086
2.136956594588245,2.01989066273596,2.005367887680337,1.7668411072384442,0.5027710502480863,0.6307793692706914,0.5633026724955444,0.7252482491027766,1.29765721418891,1.5398825236531581,1.767406078136644,1.9016155116289128,0.537050598651658,0.10982334117817968,0.40901616295455046,2.0442886573574173,0.5508272398192977,1.4982146727580505
