mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],g[1],g[2],g[3],g[4],sigma_mu,sigma_sigma,sigma_g,mu,sigma,g
2.355979595853238,2.374982452161328,2.319734848165981,2.2247631458480566,0.8529681877281872,0.6958141406379953,0.7562251929970719,0.8742330904258464,1.8504598103479664,1.6416019693554944,1.8131784123357555,2.2182822410521155,0.08265825263780853,0.10823599388081181,0.47751590520863185,2.3386931662647665,0.7488471252818706,1.7464502312732066
2.3411265379339885,2.3671744033537543,2.314283762365716,2.2445328690295265,0.8291526121346545,0.7109705046173257,0.7516871188808122,0.785357440393016,1.8050894902585837,1.6539773275799836,1.7838071771670023,1.9798653871244953,0.0760870489399543,0.12797541818595823,0.30518460814016696,2.3355890177042795,0.749792727345595,1.746420775623923
2.347680134622425,2.363052618027124,2.3196609195060938,2.2119432583268765,0.8397572362086756,0.7266777768167461,0.748586348869211,0.7893123895530405,1.7984400776642504,1.6941915473930926,1.7786314078931076,1.9631694366600763,0.1877200797962579,0.07020894500025808,0.10597304896063188,2.336265017038756,0.748591702676287,1.7517330029199158
2.3429869018404097,2.3528461099402573,2.3198872415998855,2.210824674558187,0.8384856770440235,0.7312421388033892,0.7514013643677973,0.7782475408894112,1.7957117008988406,1.711260813662044,1.7857334271417271,1.8842980659092006,0.13146295780382325,0.10604403415100673,0.10983194039688192,2.336309225126602,0.7473816045495126,1.7325876071445583
2.338483899692129,2.350043044501856,2.320210061651749,2.209271659987984,0.83313329290498,0.7275011694761857,0.753393687536126,0.7448364437870616,1.7930736717146936,1.71001401350739,1.810313283547006,1.9164990854938349,0.1386258487087828,0.0716367269921114,0.10058149231672123,2.3350558209365753,0.7428397179170001,1.7227967640992072
2.3633538338660163,2.3578763789812816,2.3249780205676447,2.241444704943215,0.8474725433724285,0.7216541828576187,0.7344647556943963,0.7264746471485037,1.8327502351732932,1.6960573415846336,1.755799884601924,1.8037859865147294,0.05493611859743651,0.05324374299161721,0.2630070428068679,2.32628873401944,0.7495962005478487,1.745128317730893
2.3417026194320103,2.37919403776965,2.3151675886445497,2.249782423321166,0.8137625915552343,0.7076681863996178,0.7404198552927066,0.7560267959179063,1.7465076137643651,1.6658827910964351,1.770843855821735,1.8205544643784002,0.15006512491159002,0.050402084787194386,0.03941997767846735,2.326176279902133,0.7498680768784872,1.742602102830332
2.3642713760413043,2.3433877419466276,2.3290346251406877,2.1876553920417945,0.8553909830120723,0.6702365142245313,0.742240485357001,0.8607367506522022,1.8430169374445098,1.5962003481200355,1.7765368707195817,2.168768216327913,0.21766037525765217,0.07474310208539912,1.608554414085188,2.3261950963325413,0.750506787050523,1.7460003184212285
2.346845832460246,2.383746176848018,2.309895203727175,2.1945143092697714,0.8089993100490911,0.7156970694643444,0.7472047103991907,0.7546321494049819,1.754017604835174,1.675180074321069,1.8113977742489653,1.9253313841801538,0.3200402169541689,0.11148294694066749,0.09198062459466727,2.345731082293795,0.7416327032178925,1.7229075721472198
2.3410655241190836,2.3459691983263564,2.319811956519399,2.239369978384445,0.821359142731404,0.6842629703594126,0.7461542260608809,0.7857671720769805,1.7446419233689963,1.6111331478175117,1.8062946915747629,1.999494888287443,2.491281144860794,0.02780199850906766,0.5715117613817148,2.3414669988314976,0.7434160189453046,1.7359847745074863
2.3754382606671385,2.3841445605120417,2.3230924643697204,2.164841545412441,0.8250731850136575,0.6681113317355157,0.7472620058971757,0.8900650122983165,1.8058184327287847,1.5807202202027768,1.8033024682846313,2.253722612879103,0.09022489268792086,0.47012951210277315,0.21172607315351233,2.334199484144866,0.7381598964513297,1.716245117361734
2.3272669619224384,2.3756083666883954,2.324844840853386,2.2105143027360157,0.8620425731233609,0.7078572727982373,0.7075139771724329,0.7857647700761272,1.8599285535152652,1.6629684853779771,1.7103145451585267,1.9723357797221666,0.07540536555140888,0.04133753063871759,0.6204002711434321,2.338872349160554,0.7492741442333312,1.7492128716914646
2.379353382883697,2.34992303486129,2.3291336344423574,2.1603027241857897,0.8226536194924847,0.6815830934444981,0.7153903501998804,0.913327271943592,1.767065666470664,1.6071377815671073,1.733862497239024,2.288921112940195,0.21528032422615676,0.29993956794568166,0.3039370301800737,2.337804518712629,0.7512222883304124,1.743225023373335
2.384856693983724,2.3620822837634208,2.3251562633558884,2.191613126181467,0.8178053759904178,0.6793278996641928,0.7276757601628956,0.9088531513051111,1.7559178509600726,1.600496549630574,1.7538169977659916,2.279874602962014,0.9519770213438152,0.5726237837935918,0.4241794597048599,2.34172556624854,0.7500510624122848,1.7490188330747103
2.3412403897494833,2.362378694653528,2.3316832602159283,2.2053158546225298,0.817634284420064,0.6961787530362089,0.6976776484461437,0.9205879465761376,1.7648488370114248,1.63778823344797,1.6755700442307582,2.4529903482566073,0.7385054411457457,0.24541991060881194,0.9462858341705593,2.3379556751634927,0.752977205065733,1.750070878941846
2.3589876185256773,2.3545564535629797,2.321549438797162,2.185197183511631,0.8378845102205414,0.7271224645988056,0.7333128281641935,0.9013751491893626,1.8020956125992549,1.709836345265177,1.7591822768268244,2.264013004564513,2.0980188687906467,0.08859916861401834,0.4448465096025316,2.3344300425486195,0.7409797291081922,1.7258101507882113
2.342808158590568,2.379103765000194,2.323632899556209,2.228157597123454,0.8361055973391186,0.692945717334366,0.7217013483201333,0.8033117408012437,1.7995328672142035,1.6250345353820732,1.7296359411573698,2.0595254557626803,0.46476610030830384,0.14118974440855772,0.289819104817537,2.3354304677371336,0.7436865969999139,1.726998691306161
2.3633116551632205,2.3497810871131923,2.3272810224668903,2.167717265322287,0.8208140132466203,0.6795717579539553,0.7174424685828756,0.8343112809038008,1.7663271943594716,1.6288596516013536,1.7485934558188942,2.1857546210398784,1.8352245151348523,0.07717125354553685,0.47344988230865526,2.3372005717435265,0.7403722910234088,1.7343021802989211
2.353373499809594,2.354268570966138,2.3271489577403517,2.1831529788766066,0.8095254667693227,0.6758115756356631,0.7166501253121168,0.8873000862139461,1.7246323474557095,1.5954108884992348,1.7227899790918577,2.1798210112277623,0.6577327527685022,0.10435662334891882,0.263621925042012,2.3401737278614614,0.740852146401893,1.728502153372264
2.356727496334369,2.36278041647715,2.324702177333299,2.1969317974294604,0.8196633628486337,0.6842969357580414,0.7136644092657318,0.8544752865907054,1.7428509800697392,1.6445084377805792,1.7211194552961993,2.1553083757172713,1.9534385182612783,0.19406039823565543,0.3566118671709127,2.3404948799192837,0.7410011329948142,1.7276159393586858
2.3395255411833755,2.3633791413398617,2.321736645131098,2.2017886506652444,0.8242165321413021,0.6804610676933335,0.70817406516173,0.8754479925213232,1.7628110419745786,1.6357127092938928,1.707360070851134,2.2883712473771913,0.407726257369197,0.12594032258318993,0.4222088173997199,2.34014919482643,0.7400774250773429,1.7257198126900426
2.3375294345484217,2.3556360218566503,2.324566623730896,2.2298441430658196,0.841455520391107,0.6938945538801371,0.7439954259506395,0.8664798166333674,1.778384470382827,1.6294099857146311,1.789780855580339,2.110024377707094,0.07819122172204497,0.09288908201710461,0.2866967479854759,2.345175969711097,0.7448463678134595,1.7461135014917968
2.3703501931288606,2.375048502782344,2.327089931978276,2.2182085941364016,0.8517017647950639,0.6785716440940469,0.7548320953040372,0.7798582978520276,1.867040706487848,1.61369002979156,1.8090966986767043,1.9916580610286547,0.07838655993157538,0.07640255217854607,0.27727749061001505,2.3407655436166643,0.7494740057320978,1.737097132657701
