alpha[1],alpha[2],alpha[3],alpha[4],beta[1],beta[2],beta[3],beta[4],sigma_alpha,sigma_beta,alpha,beta
1.1410386096035643,1.5168273594585056,1.611574410621291,1.6107698955388228,0.10147377709601901,0.16633226075518387,0.1812289830353087,0.20617604327414488,0.3843239441632633,0.034594320761201384,1.411370145902164,0.14873918407740738
1.1694436041156464,1.5074598152498124,1.6411698268552213,1.6672578760574701,0.10453520083136207,0.16634209878211295,0.18385536269411626,0.21074784555003426,0.1703421887136735,0.12330001794037071,1.4097561463556274,0.14877615365934957
1.1699434142611551,1.5291918503603203,1.6046481797182528,1.671434008362053,0.10455805654771676,0.17063494793741293,0.1789143368442491,0.2123773137915153,0.3869247834373754,0.028400602780055406,1.4117105032588806,0.14781591900782637
1.1648007166769692,1.5217212803595142,1.6408196296795199,1.6540635599699476,0.10215997295700845,0.16813813448427128,0.1839859698077239,0.21020354385142204,0.16728562854006307,0.14167235574381062,1.4099902757942433,0.14909149268749708
1.164868575732364,1.4786739401700983,1.6006202219058148,1.6375947797233923,0.10492370646292763,0.1629225402760438,0.17940578429582937,0.2102041776822094,0.4129564273216398,0.07318251592072557,1.403077292968699,0.14733166488660318
1.1650972636806693,1.512698343614092,1.6154253443562183,1.6736746356789645,0.1022454297668539,0.16657806429358182,0.18191516710931588,0.21254887103415807,0.3411747540558948,0.061802536342428195,1.4017756409298996,0.14727624378687507
1.1719448636769585,1.4915109926408485,1.621062542257953,1.6392417339669967,0.1048233024663969,0.16564535300098895,0.1825050352227439,0.20649814843967249,0.14259849811728414,0.03527330008041299,1.4078781681976469,0.1478242612711799
1.1676423812103685,1.5225173291554734,1.6281992130440142,1.6665510767658147,0.10217809235820839,0.16756400081044134,0.18278463658164065,0.2147505333622059,0.520571396984406,0.07179188475765393,1.404297249788228,0.14765694052226186
1.177855441858332,1.5348619003837085,1.6362812386602912,1.6449177268115802,0.1049337637425451,0.1683192794161702,0.18387859411722687,0.21027912933479825,0.3090280573342367,0.03409478254378395,1.4088729668768842,0.1482081232465059
1.1520731929184371,1.4846576150990394,1.5965717844318759,1.609488341659721,0.10233360412391602,0.16316752425409656,0.17857958865106172,0.2064970637977681,0.2945285713810043,0.07624710379802613,1.4162735992794593,0.14927475635114007
1.183260578780448,1.5283332818929412,1.638709450199994,1.6790703529008102,0.10464991467651265,0.16777239121027102,0.1837667999460032,0.2153687146616078,0.20716650122308958,0.04390530802446425,1.412670881286633,0.1480053225336226
1.1754190093677968,1.5136750424274148,1.61839948563147,1.634339591009163,0.10553390791553359,0.16587969104748063,0.1819362665878015,0.20712379244542778,0.18793317654778566,0.057944175476817704,1.4156837214976123,0.1494455194240061
1.153409637344344,1.4921446892114714,1.6217712959757133,1.6661127117738415,0.10248384289458443,0.1656289825486563,0.18301465926262483,0.2153559390930413,0.341035539053728,0.10565264873132957,1.4053493186516544,0.14784528111924863
1.1755083406761242,1.5059758281142688,1.6173905874348293,1.6381644884131712,0.10552773628733905,0.16578667530096336,0.1820247048364571,0.2090326712043866,0.17755726595415747,0.033417762139053356,1.40521266962018,0.14783955639104657
1.16906247913041,1.5025661118361802,1.628243055110305,1.6360903135326976,0.10482581227239433,0.16530044346835165,0.18376360268861602,0.20914055205503707,0.35236364385160346,0.09101817168274083,1.4140334318419252,0.14857493868060706
1.1767612821222215,1.502232044124679,1.6409627521983405,1.6672457845184803,0.10425244469396115,0.16672013553089018,0.18453369724399757,0.21522854019205145,0.23203187721157972,0.04686466104645741,1.4121486662357159,0.14879622700644252
1.165556181286259,1.4971927083295609,1.6137667192607323,1.646855838196798,0.1037704965444275,0.16490303555985375,0.18070850571640568,0.2110314173275116,0.2525800203284049,0.0532215788339442,1.411050992514806,0.14869079963422843
1.1743812257185424,1.5055828405888025,1.6107146007731572,1.6672474190300148,0.10472758720594812,0.16643308086533312,0.1805534305883273,0.2101434067660806,0.33453292708040555,0.038200721426599055,1.41144581307723,0.1485564354324462
1.172054010097061,1.508165312790837,1.6083990173002434,1.6743291376519043,0.10472951428607657,0.16719026226677147,0.18098811073439985,0.20857259369229594,0.32786737887211503,0.031107374274405984,1.4145485971065515,0.14909413672463045
1.1771197129849038,1.5069710355484078,1.6013844084930637,1.6486239491139592,0.10405593153516288,0.16518746460076728,0.1801356035336347,0.2121266725305441,0.2586983409194737,0.027982312934356903,1.3983527438000547,0.1473874853452533
1.1837050615788884,1.5212229168271951,1.630199028142857,1.658211360739144,0.10474677373057163,0.16721538311162507,0.18409157442140078,0.21378981488693483,0.2572485444448661,0.11277188427823456,1.3996214981829267,0.14720158847966047
1.1482321496115826,1.4940278248347463,1.6215946082036692,1.6389964923249514,0.1024413705741294,0.16531429221277508,0.18157090490185288,0.2058949466871648,0.22361679554551658,0.028618087260853676,1.4002888899442993,0.14800650858167344
1.175217690640906,1.5045731376447526,1.6123856487847315,1.6515824316173318,0.10554795009559996,0.16581063855019854,0.18040429651046774,0.20600755828001202,0.22153962344948655,0.098017841389519,1.4049876287006655,0.14762727114162538
1.1735362070237552,1.480187894673984,1.6269790348386433,1.608581201400768,0.10396943626039898,0.1638074819033164,0.18309123296464672,0.20842914865534498,0.211359660189293,0.05666822551114832,1.4076455169668585,0.14835873956219112
1.1727491393281397,1.5177098481147786,1.6028380495823882,1.6302184875248902,0.10312204017348296,0.16858974966828075,0.1796891203551646,0.21205857658312016,0.2701777914689896,0.038623236405260254,1.4134640820470716,0.14898634955872458
1.1571410113231697,1.5296378139314848,1.6141101423763173,1.6474933220765833,0.10305377489529673,0.16805271438357502,0.18076120907988527,0.2038779501937613,0.3418365642422093,0.03944877948686629,1.4046888355431264,0.14717263559602237
