,Gamma,Lognormal,Weibull,Exponential,Gen Lognormal
Gamma,0.0,-2770.3815629879828,6208.369470785896,32695.223027575295,-3325.920238451683
Lognormal,2770.3815629879828,0.0,8978.751033773879,35465.60459056328,-555.5386754637002
Weibull,-6208.369470785896,-8978.751033773879,0.0,26486.8535567894,-9534.289709237579
Exponential,-32695.223027575295,-35465.60459056328,-26486.8535567894,0.0,-36021.14326602698
Gen Lognormal,3325.920238451683,555.5386754637002,9534.289709237579,36021.14326602698,0.0
