mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_mu,sigma_sigma,mu,sigma
2.5729753454468582,2.6838389699322924,2.611987407608344,2.448993594830057,0.7682528545718775,0.7697605069166575,0.7526733675102727,0.7461598657477676,0.08769185549100578,0.006518764164995821,2.60228569929428,0.761414009137664
2.599793464190502,2.656274321044049,2.604172977273473,2.427802155490922,0.7748271378983025,0.7502862853601121,0.7550497914076595,0.76209231728661,0.1034970723712484,0.01962839586997014,2.6083047258790852,0.7626268703100675
2.5998205724330465,2.6616124903239085,2.6003495740251568,2.427079802830977,0.7723109064771926,0.7519176686006083,0.7526673496389433,0.7637761837118962,0.1225197794425651,0.016917272399226344,2.6080700812578805,0.7631179889555202
2.5711054227219092,2.6804026341980625,2.615685347414003,2.4290980889113736,0.7779768529487517,0.7663754007321357,0.7514627465852645,0.7577430142383389,0.11423933096405144,0.0076758603492483694,2.6059788559568444,0.7649201129388311
2.597710882517548,2.6585240557134426,2.596670688500337,2.448608211108834,0.7689075706124316,0.7582439219718117,0.7469889998626773,0.7658366518289847,0.0835670321479155,0.020087347223869106,2.606375656146021,0.7651895259262996
2.5977518879982693,2.6657465945428966,2.6112179050449114,2.4376440716524246,0.7676562935221338,0.7616659311253112,0.7444092051084706,0.7647521167728717,0.0761318102276141,0.017015575136158523,2.605709815262591,0.7656658201609802
2.575882182977332,2.672175319433544,2.601799046195983,2.4101051661993456,0.7762604986540785,0.7609458548632754,0.7585658696778581,0.7500089401105303,0.2417783586401387,0.015378420677753872,2.6086824192254654,0.7596952993834137
2.58104884753617,2.674134364153217,2.606937036868688,2.391935420780374,0.7728837001118869,0.7614056194863609,0.7541370290059751,0.7667003944524566,0.18214979538973056,0.005783613448360585,2.597819665802059,0.7614337913684499
2.593203929054757,2.6728666112865973,2.611842916405316,2.4265264082273457,0.774926307484086,0.7591551248685533,0.7582707486366845,0.7505129472724382,0.18470216848174426,0.013817284860567606,2.6022340505488786,0.760056214384042
2.5883698307507883,2.6641862613679574,2.5954057674409485,2.4266071867500107,0.7781236251457713,0.7595503424631898,0.7554379055030682,0.7600072075735592,0.12035594071129002,0.010485499459370967,2.6061962744672393,0.7602194162559152
2.579062046204484,2.6869058131714194,2.6135680548134137,2.465891428993477,0.7826053355085778,0.7531596481055128,0.76045616438085,0.7599796492624814,0.09136180444986959,0.013982343508502863,2.6073917539824487,0.7581991164588215
2.596418402721893,2.686274705243795,2.6012871654350724,2.4465478965488634,0.7756368909402731,0.7595039908934056,0.7563766490731072,0.7504382287248541,0.06910426959332948,0.011726032721298924,2.6028210416313615,0.7546017551375624
2.582583899883511,2.6712531385746936,2.6136556677964657,2.4291546112030473,0.7676646274559056,0.7539101699345618,0.7535841646145846,0.7623611830164768,0.11202892045533559,0.006978995029273828,2.60839663077588,0.7638334047197384
2.577125019228867,2.6705737662179287,2.606680355001115,2.4330907021595425,0.7743207865393487,0.7538414846225997,0.7528142219765672,0.7572924890016877,0.15581388580820751,0.006712281171392195,2.608774620835965,0.7645083587271201
2.577927988859005,2.664338255194346,2.6142524609979625,2.4300477376652303,0.7774211002815266,0.7541710920906511,0.7529136443755515,0.7548445646147708,0.11469279164311694,0.014410392565540806,2.598829012314194,0.7590577155814436
2.6011878741257184,2.6675325513395918,2.606749436471061,2.440005404228921,0.7689921921731617,0.7636353855774676,0.7551966331604089,0.7530864358207721,0.07043580155180194,0.006638415919509519,2.6122334761306107,0.757167618989336
2.578871471912482,2.666528553363149,2.6064104809973734,2.43966588449465,0.7616335914374215,0.7677062881219673,0.7551779653299683,0.7576863463237694,0.10088574117331557,0.006191742679251049,2.6110183413774277,0.7568947069146816
2.592889023084279,2.670048299334388,2.611242515409673,2.4478891834529932,0.7843844603170671,0.7580660832568926,0.7479307497115686,0.7560606353247296,0.09009949560182073,0.0148974589285885,2.6063025957609764,0.759732356477858
2.5842716702043242,2.66973138491104,2.602861798304398,2.452116278046648,0.7735422341456942,0.7598741798061991,0.7521990365472941,0.7414461491881966,0.1932022892005345,0.014577619900716553,2.604135570662726,0.7524963640274083
2.578608567629712,2.6613173597742206,2.5978167544811557,2.4256228283222683,0.7761891996758887,0.7536654455758395,0.7502545522731475,0.7502550442417426,0.1535563180592886,0.012594466771076503,2.608749502360615,0.7512198179956315
2.5903469814360096,2.678110740654979,2.61624407207054,2.4187099892195807,0.772430480047425,0.7621987675998856,0.752382927131872,0.7574727582592771,0.1258924843438412,0.0087983348475106,2.597763492543127,0.7550893777115016
2.5780977131964455,2.6645149980985643,2.6057565806279186,2.4367893988493687,0.7697371141668973,0.7615531450913284,0.7526200368017658,0.7590332401511646,0.10469731605868682,0.013912812772063358,2.5945737571604988,0.7576466299218526
2.574561217750053,2.6696441687301697,2.6006460590609484,2.421232011216985,0.7758960400759058,0.7492041484336301,0.7506992732740055,0.7595713790130983,0.09457571477200176,0.010877734435435582,2.6142712679077094,0.7560419258126557
