beta[1],beta[2],beta[3],beta[4],sigma_beta,beta
0.13567014834233473,0.12745306137439458,0.13265560647560523,0.18786598258218787,0.019870894943936082,0.13440669050531368
0.1350543108708809,0.12757258569662208,0.1314322956108326,0.18992353928191386,0.04056941466522772,0.1345733009073551
0.13392603044922316,0.12674349469133056,0.1318901557852785,0.18773902286398866,0.0245211594700357,0.13460670291128968
0.13411114078092662,0.12815331077285474,0.13158768136535492,0.1851050431684297,0.06226689910219863,0.13478268372046667
0.13304819112864041,0.12769978054139916,0.13196300024557667,0.19251435350430005,0.03196155117208363,0.13484421105190328
0.1359843668298028,0.1271434983094237,0.1318738113721545,0.185774307954277,0.04811473118398978,0.1345352067901179
0.13335452539160383,0.12724497780791055,0.13147343721318314,0.19231204886685682,0.023620645478695485,0.13470553728811221
0.1353320060833264,0.12705433840281125,0.13175909487714346,0.1861407693544237,0.05060998679991513,0.1338830654631887
0.13476138256645256,0.1265470190434862,0.13211123122862758,0.1879932184125732,0.01770757478738355,0.13402934951660675
0.13407279032605351,0.12854254541419854,0.13100393051245637,0.1898765894740769,0.07310426555314002,0.13447133261689
0.13403365213469315,0.1287714582942112,0.13116579443438586,0.1897103134989968,0.10883922731492328,0.1344918048069642
0.13499247493573352,0.1258389797340484,0.1326555042219536,0.18873686421300467,0.05982962306777362,0.13467555977376947
0.13413315921895902,0.12692255176926917,0.13166762766323778,0.18945581421444604,0.062112067563679124,0.135280067908319
0.1325350735057497,0.125491687933895,0.1311207358156274,0.1878137693326432,0.05265646035707527,0.13538058998552846
0.13623327912952238,0.12718997186011008,0.13232372035129414,0.19073336862393026,0.019492021354160467,0.13488195072440923
0.13470299219037693,0.12730655973758018,0.131786559394198,0.187687106442892,0.042757872697055346,0.13444541406444768
0.1344696541466412,0.1268036825917871,0.13217275984357207,0.19035315939316827,0.02544541583029907,0.1343611037581221
0.13411475544587229,0.1265810873554058,0.1308478075220801,0.18834338418894436,0.037601748573330575,0.13459346853883764
0.13458329777291467,0.12604996154116907,0.13047325407527288,0.18885704042128754,0.034855220288017005,0.13456649865296086
0.13405801239447526,0.1284418731285512,0.13270810877131922,0.1893719104101666,0.039814546930243576,0.13466336707160811
0.13340944664563392,0.12721886732452714,0.1320389722266087,0.19050979468056542,0.033130349674335646,0.13522759925391453
0.13490421134317093,0.1271197550135334,0.13112879571926786,0.1893027334277823,0.01841014098717878,0.13528307430873274
0.13413374482110943,0.1270897559463376,0.13228708394191155,0.18864692158954513,0.07167402778968082,0.13461055984173578
0.13435830569853355,0.1268697005671754,0.1306965818412688,0.19096472543693344,0.06709363921639236,0.13447456880094716
0.13508110408678192,0.12804623256355294,0.13118953055456334,0.18765492637521916,0.03293837316944503,0.13509261136713563
0.1337020244438831,0.1270207021790448,0.13238944101487599,0.19110798515206054,0.03491243555012486,0.13513602529290047
0.13552330286868855,0.12741115791587487,0.13105370756176196,0.18708827550663437,0.033779081997583726,0.13520282626488545
0.13575204640222602,0.12746316750907052,0.13127299107014662,0.18695367965651394,0.023654987098241702,0.13511479253051412
0.13292219886892637,0.12737669877475385,0.13198335070863582,0.1919875910466086,0.06580280243611158,0.135149283282688
0.13602688041331756,0.1267559854298289,0.13217858424606582,0.1868463726736816,0.020079390937852597,0.13519950583724696
0.13293649457302956,0.12625766389974885,0.13312090855068506,0.19231348560946243,0.03594604043571713,0.13519950583724696
0.1337830692725,0.12754701850654335,0.13078908041483855,0.18513872806720497,0.029371303767568063,0.13559024604924008
0.13464615952182227,0.12613488832829473,0.1322602578558833,0.18504550653273338,0.01877970280819522,0.1350597980878498
0.1353434108774994,0.12653447411396515,0.13227874575028897,0.186015275429054,0.025598738112674376,0.13483327942546794
0.13325769899098533,0.12716610481990548,0.13250813601114012,0.1913063794312555,0.037125645876719245,0.13496958035401085
0.13621911280070723,0.12734027314815083,0.1309605946569467,0.18662847390071813,0.0521818737934205,0.13464843487208095
0.1352233106533594,0.1261777683538639,0.13260089291470623,0.18976908284462915,0.0648139963917082,0.1348396003917598
0.13532058297462984,0.1270981491842561,0.1320138612649503,0.1896812634511983,0.05704583985718065,0.13479556420685512
0.1341447382255583,0.12764166096113697,0.13164906459819592,0.18906600001154547,0.024620145227197222,0.13452827454404775
0.13368053909799715,0.12812314651037945,0.13137728929301357,0.19019651758094305,0.03248206710825195,0.13508610932563975
0.1346431391391348,0.12764012238822622,0.1325138678229362,0.188345540525522,0.025965822847043605,0.1345023260811773
0.13431084602418827,0.12524994062421574,0.13196822913308037,0.18532487202052772,0.04626915072632203,0.13415296755978606
0.1344938229685463,0.12953502499337743,0.1314872217085432,0.19241924105463679,0.044301811421662965,0.1344467285259642
0.13687998956710634,0.12842737776234234,0.13094455070101366,0.18566387053562514,0.02276492571925303,0.13451466914794574
0.13420549267193335,0.12802903144609715,0.13145223911140358,0.18820004933553702,0.030579757036369525,0.13554277578987298
0.13336789577583943,0.12726616653271755,0.13076449163239906,0.18676072044438372,0.028730272412668883,0.1352747079425497
0.13585409556392714,0.1270250659632864,0.13275355894085147,0.18976204201832095,0.03149469602267767,0.1352976778062709
0.13502978666881685,0.12716701415585568,0.13047009654180539,0.189908026919718,0.04968215989345147,0.13517204525966173
0.1330203585695031,0.1265152316424405,0.13159204931961158,0.1850182660334984,0.04746213365959129,0.13472203818736977
0.13610985603540818,0.12786049236798505,0.13201987540388693,0.19279303557856717,0.07162730836165618,0.1343085710833549
0.13485669499778713,0.12748194135626734,0.13179420801428654,0.191768342128625,0.053071365127208475,0.1341182701776526
0.13366611448006654,0.12824503373069854,0.13265527303125632,0.1932645478320644,0.04033269564776325,0.1339140356716938
