beta[1],beta[2],beta[3],beta[4],sigma_beta,beta
0.06585799655562499,0.07126495810556187,0.0718806459121347,0.08121299215534747,0.005580220023190556,0.0710786955360969
0.06387380130827419,0.06866031778956447,0.07184448774493897,0.08344018695175709,0.01183801401954756,0.07116303250952594
0.06718661866843884,0.07041495673469081,0.07329619265141483,0.08356190715292128,0.007003987953657981,0.07100381149481953
0.06707383553704288,0.07107904072957719,0.07350945444101428,0.08332407735149971,0.005878107472062061,0.07133662633517368
0.0660674461960305,0.06991526359374493,0.07256132443197971,0.08199461024269886,0.011405826397313924,0.07164446695530442
0.06578194630303373,0.06977830453402774,0.07279688279067412,0.08176366917960289,0.01209476317025667,0.07124300766552685
0.06527360515640994,0.06926938505789862,0.07166674180330908,0.08462717345229427,0.007118387830837092,0.07083074818476987
0.06448356741449787,0.07000603947728622,0.07182680556263948,0.08474897771178609,0.008607155416720897,0.06977878017355676
0.0660801043532442,0.07042551553862288,0.07364878970572514,0.07856417051857208,0.006079524154948265,0.07046745471718475
0.06496409964783272,0.06921623801300344,0.07219852610497755,0.08472737716022036,0.008403665473199729,0.07071751347907237
0.06612757746917243,0.0706024207398896,0.07315030590650393,0.07904436484184763,0.006505586163370729,0.07130817943799667
0.06529813312999508,0.07010653825367653,0.07260645549186678,0.0827500339429441,0.0051544661370215555,0.07052640687081038
0.06437818250138436,0.07128584246663673,0.07291877969974217,0.07731455428067088,0.007895939776695905,0.07108313652422563
0.06410012213085356,0.07103418756104905,0.07243980641619246,0.0803772187748626,0.0057162068532494335,0.0705167497285577
0.06654833814619865,0.06946540975784601,0.07309115513469791,0.08488554103016759,0.03660608341229657,0.07067157659583713
0.06462981031267012,0.07060177827942453,0.073547386760907,0.07954145979065942,0.003707993168583779,0.0704018376498571
0.06496510760532752,0.07030747276822874,0.07257659180567902,0.08257123469010391,0.009141304066140183,0.07078402112741376
0.0643573041371462,0.06930345648087963,0.07271610904675253,0.08120196361718188,0.011174153084251357,0.0709200656258868
0.06657893339740595,0.07033569666293026,0.07331128612233895,0.08333741744307822,0.005718213657248017,0.07051016497733116
0.06480974314129685,0.06991995383938315,0.07249952001452953,0.07720606595141492,0.007698280456726852,0.070139691413235
0.06572751753618,0.07118682006072455,0.07323656088004545,0.08231326810454598,0.010434850914003275,0.07006214355654791
0.06532341382071932,0.06936549201323486,0.07231590139422123,0.07940741704059573,0.006978894701568493,0.07026736605261667
0.06507270321335556,0.07121551348539863,0.07318090564530705,0.08564280463276319,0.023726138377664772,0.07024725710017463
0.06519183198037196,0.07132663620495899,0.07269549009758546,0.08299445708846666,0.007083595249341079,0.07033187799742771
0.06546844244550372,0.0695355298744835,0.0729902639291148,0.0810146706846869,0.0052424537682967875,0.070820945268038
0.06541413926040096,0.07129589664711743,0.0720548121823374,0.07954283319213418,0.05043038709602373,0.07087651969022504
0.06568958398000486,0.06958791861463792,0.07198561808413233,0.08333083975479047,0.006985012791829549,0.07031073221421474
0.0653614937724233,0.07089826598747757,0.07350341348675438,0.07901271745027308,0.01122063232007716,0.07018191374664545
0.06523149277591611,0.07112262029254636,0.07314231286298319,0.07912270015571943,0.019547229592824827,0.07071397572079653
0.06610260368221818,0.071756125310709,0.07244384184907128,0.08105071100258673,0.011186286987902638,0.07075282571445485
0.06530807369129567,0.07252477525274038,0.0723616346483474,0.08213813670815133,0.012388450698588021,0.07081188665564754
0.06563622081243635,0.07095894981340761,0.07344704233128163,0.07985736264433231,0.01036196567560809,0.07073584004611218
0.06592413074502458,0.07086548175044714,0.0734564911945239,0.08308950241696868,0.015988376342689202,0.07076580526451894
0.06618881871970826,0.0696519041727651,0.07291757472880495,0.08340321144642311,0.006100249737404212,0.0708097831211846
0.06608396950847899,0.07087602255005092,0.07342566092579968,0.08010756964838311,0.008341173326787524,0.0708097831211846
0.06587671577761887,0.06919821246703663,0.07277126333091077,0.07823573888038714,0.0038025791788938454,0.0711515763891575
0.06536051082794626,0.0715133199993153,0.07209165222570803,0.07965172079059972,0.012429431490833955,0.07069058487809005
0.06576040344111043,0.06900339117945387,0.07301389725187649,0.0809373832064674,0.00442852950182353,0.07047260986503799
0.06545914589002742,0.07024975180490739,0.0734768336241795,0.08464403959198241,0.011169291566511013,0.07059819633543293
0.06538989299455845,0.06989648371434179,0.07303549120943897,0.0841414211400463,0.008924216698174161,0.07032279014447837
0.06422392626987868,0.0696026866672556,0.07224469324251921,0.08082408621765998,0.007218426187730475,0.07048784030663119
0.06575544118730516,0.0699675668119826,0.07219842930539383,0.08292528369514589,0.007642325966890942,0.07045153807522307
0.06572598968796332,0.06994660174598427,0.07201014408717699,0.08315239120234798,0.009499537848191646,0.0702195992982814
0.06478024442715914,0.07030162242760425,0.07393844109983537,0.08076681357575911,0.007994175043393543,0.07070405698733648
0.0649195559628006,0.06989525878932452,0.07356907328617204,0.08110865414537095,0.0075888443245451164,0.07019867717227059
0.06399155592952838,0.06905028419403222,0.07439079799948342,0.08470298004077531,0.008048926192699857,0.06989254560568088
0.06390133247476354,0.06847330512660584,0.07411995319362245,0.08208610416661657,0.01141312780869359,0.07014383021398336
0.06702786162741473,0.07209552185485027,0.07287132827839983,0.08042205955463548,0.007914016974841714,0.07020317839936026
0.06429048153815668,0.06905804263204512,0.07309394107210873,0.08173536368132424,0.016324712027733845,0.0711004122684168
0.066251813741729,0.07119162170086805,0.07281076478913645,0.08033396730072483,0.003920722023510771,0.07087306938516057
0.06513685243599705,0.0698973855826479,0.07332220309932072,0.08172688395089414,0.017584862618666635,0.07089511602042084
0.0655132607124544,0.0703278096814719,0.07249626243415579,0.08174562877428967,0.00633853961042386,0.0707865646880129
0.06554255954177633,0.06992118248136207,0.0729760696707203,0.08108826766677928,0.005832419460788786,0.07039792947399033
0.0654694682598842,0.07082700252423742,0.07296622489684133,0.08201516236133362,0.0070047080681624446,0.07003334648678576
0.06575443525376919,0.07108849088036907,0.07315721491226604,0.08137867241527061,0.004353409949626103,0.06986255523800702
0.06558376689921419,0.06932616789118476,0.07281411539102431,0.08069743573642435,0.013603930375016289,0.06968101997339866
0.06631426679082206,0.06821841204750266,0.07264011031974128,0.0840102556516563,0.012245867541294057,0.07024700138680229
0.0639458921040368,0.07158049402328782,0.07349064804607527,0.08107844603671421,0.007987321990064295,0.07035234491888721
0.06496799387532172,0.06915430701648323,0.07197322954963513,0.07938886489482079,0.0073491370343422915,0.07044574274117024
0.06566273761640812,0.06894823839079195,0.07306756913932556,0.077869620324552,0.0034959603786160953,0.0707316202474272
0.06640493210055566,0.06951144734051642,0.07313564944368771,0.07696066929391443,0.0041075597461686705,0.07057835765949065
0.06426137426396247,0.07028342447693331,0.07309942694770871,0.08391199004366308,0.015326169482858544,0.07061021710858492
0.06701371982424426,0.07013193108739157,0.07227357209770291,0.08021101479073395,0.011768660746438163,0.07059674258713688
0.064187272086854,0.06826195499600439,0.07355495183328332,0.08152364666567911,0.007408892689405396,0.07083948670076963
0.06509807072149987,0.06967367484883007,0.07268886910421331,0.08218562577446098,0.005526217246710164,0.07081652008183817
0.06571333281897813,0.07138499792834783,0.07321541963097855,0.07915855462538052,0.021622342984022498,0.07023018538183655
0.06459341517590748,0.0704165719784296,0.07318905969578171,0.0794284857395956,0.007880044195820104,0.07051489750182742
0.06473405539183753,0.0695255733527175,0.07419370980624419,0.0796238388907107,0.003871008986525462,0.07060964161663509
0.06526295260398907,0.07094411583333592,0.07315331000750154,0.07870979454653984,0.012088958667471415,0.07058736957857817
0.064130624225648,0.07100101919068111,0.07367406159490283,0.07573042645207058,0.004896399518975014,0.07065341344379339
0.06429184699158304,0.06977188799821046,0.0735997714133712,0.0800490238762355,0.00792736535347937,0.07133906887169945
0.0645947027653248,0.06916964669301935,0.07228182471629263,0.08248943635605967,0.007964398978941675,0.07133906887169945
0.06632850502429855,0.07108894343478618,0.07327476045585765,0.07896582293737221,0.01196202241676598,0.0707652433649222
0.06463825294814021,0.06896440097218604,0.07253587913717319,0.08515592891652411,0.008433613613895004,0.07086388227099172
0.06407420219694164,0.07192050288796245,0.07271977681767314,0.07908222645184472,0.00733549345260452,0.07038890298645178
0.06381911527504863,0.07111249107083256,0.07358243156000167,0.0831239114020341,0.006271975854428459,0.0704720689651745
0.06704244884115222,0.06914152719562845,0.07285197855227751,0.07865994945021247,0.005907160692971726,0.07067282021000129
0.0642680623299089,0.07121946661585817,0.07236498679726598,0.08119230963595672,0.007317168129956603,0.07067282021000129
0.06614541536914732,0.0692688116614522,0.07232172615627228,0.07914370082475092,0.005793656646293369,0.07118630893388347
0.06518272718308277,0.07079232373084406,0.07276006539263269,0.08366874983908916,0.007593197770294081,0.07102132938054208
0.0662984665521817,0.06962495676948065,0.07299853460937766,0.07932516536859364,0.006514630330858421,0.07083599610856844
0.06587153030949795,0.07120641587377091,0.0724435761861872,0.07722268827360673,0.006759226781928676,0.07031892837318024
