alpha[1],alpha[2],alpha[3],alpha[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_alpha,sigma_sigma,alpha,sigma
1.18326255830686,1.2713088602694114,1.308513707667682,1.344133995553608,16.23313931069401,15.434035009893512,15.10995001187788,14.03132002095111,0.05312512735349484,0.7495483263623123,1.2589634294314125,14.972476790471429
1.1692670047628466,1.276006196261055,1.2953890994586927,1.4140546783095134,16.27951017905592,15.39419219137269,14.902636076595728,13.189797186954856,0.15017137762559896,1.2827576979150142,1.2504224635826395,14.950094011749625
1.1858221876214818,1.266017343149636,1.310251390460674,1.3238516448519295,16.1519487416373,15.490916883179363,15.072880694064414,13.815244748434687,0.058134558103823473,0.8353324471316091,1.25823627342897,15.054720156683493
1.1740471730517807,1.2549446806137965,1.3023739352976373,1.3354838130204112,16.190973088124508,15.540893740053502,14.87914362556867,13.442033495698901,0.04234093564734733,1.1396655691551385,1.2488867489100606,14.877040796998399
1.1792012384372896,1.2780352973264868,1.3005715987051274,1.3207914107906091,16.154095623839922,15.251828561574152,14.98332376245039,13.390259645994107,0.0665530894758132,1.4159236397853703,1.2484689205879453,14.972527934900766
1.1723930506095446,1.2763954764064869,1.3059106652777597,1.4116118632582553,16.1765501649131,15.56502344209476,14.964719376396056,13.667643766978639,0.1085101829817286,0.851596973139157,1.2555232495145348,14.987832999048816
1.16121367196098,1.2816446783183888,1.2915868537454254,1.3988039045590566,16.19978539669254,15.598814663967598,14.876923950500355,13.470489244560714,0.13670194725071544,1.0214900768656459,1.2518738406926613,15.004449105233402
1.1939864422771906,1.2658102787600543,1.2987587882598306,1.3073475169207465,16.299907049564233,15.184396583079765,14.97501890621617,13.33112630423016,0.04446348020829421,1.173807804195058,1.2518173532831651,15.013092246839742
1.177200061623377,1.279142421022117,1.3118380334971842,1.3650047072828817,16.172356928978132,15.084504219548846,15.012261196024042,13.442252309049762,0.06155974701999396,0.7794950965795163,1.25107739213412,15.041049340879434
1.1681685852504224,1.2511249015720602,1.2998361204245545,1.3761300264735414,16.14142404250196,15.283365466786472,15.198046495114697,13.440761024951074,0.08018421011515775,0.6992351860977285,1.2516756510950624,14.992500641518399
1.1737065964204811,1.2881995913732498,1.3105633864909232,1.3853990304017645,16.374389158557875,15.430389545676826,14.906148428193095,13.642196315535756,0.13290385307344588,1.9917242162673339,1.2547682814729841,15.175709215273526
1.1810832370746378,1.2865158541403854,1.3111699823303997,1.3757875623192186,16.110755729801294,15.600939344219368,15.0160170398391,13.29607945074149,0.11325761294564148,1.2786049499341656,1.2642500789619207,15.025297828159193
1.177735124723503,1.2889070186902372,1.2916821713291295,1.3700397334467989,16.48682344770392,15.629105294679778,14.98569693657808,13.706162387142136,0.10449113567510626,1.5012801337607133,1.2621801610717271,15.055120474833304
1.1797195406998322,1.2720279075421246,1.3010083923902214,1.389764524477166,16.319857394441758,15.589628108005098,14.931411677755484,13.942415963283674,0.13228426715974032,1.1770671234593315,1.2471226708837697,15.019275116276201
1.1873624931406621,1.292795503790465,1.3001504047122183,1.39890651132138,15.948325315725366,15.70695159550804,14.998111165482188,13.820238079822742,0.08839991489420805,0.5915345324287087,1.2592185945917012,15.150644871331263
1.139931552697965,1.2718019074013363,1.3079807989146988,1.356511788507786,16.032742585103072,15.316809931367818,15.07045843370294,13.520550890933464,0.10708998692086,0.9474049602130203,1.2558598753709644,15.139450455096338
1.1589119636559444,1.2431760813440702,1.3045232913775273,1.359608129155722,16.348485530878122,15.542445121569656,14.946855143363525,13.41516607261129,0.07757932349702801,0.8518535652572607,1.2600893775102235,15.025574840305092
1.1678968646477619,1.2759248491585629,1.2942357159767848,1.3978991551345186,15.857559162480417,15.305042647515567,14.880715544151803,13.279774176867866,0.16643645867668225,0.9136671855280172,1.2583718663387884,15.07743659567381
1.1662041223887694,1.2735991994408924,1.3075864014048115,1.3537290857322548,16.188117052945813,15.550383169012255,15.110034934480009,14.022885916101933,0.0612067057746643,0.6447270503194182,1.2458588221662876,14.938010896753287
1.1716447834982127,1.2957642868069803,1.292054495025492,1.4414943571093617,16.182607304191837,15.438547219855414,15.07326710347342,13.279170054472859,0.18782308678943224,1.0722071871677727,1.2526408438096353,15.009393067766473
1.181654814176137,1.2799912144344363,1.291130682409168,1.3748517999509975,16.24637354741152,15.21716166461036,15.03106013608445,13.25849406224914,0.12102163845669306,1.4308100236666108,1.255143995205727,14.970926742147016
1.180372207781382,1.2735176631878646,1.296754915064818,1.3808276823464856,16.013444017646265,15.2896462653904,15.024550736413028,13.526636002448843,0.18120431584363397,1.1405768966591383,1.2564258766804803,15.026518559629215
1.169965331158405,1.2775574551889937,1.2977097217192253,1.363098618629989,16.240249736212437,15.60411521090838,15.071033475295085,14.026066359823622,0.08169983200673311,1.0723489319009383,1.2543019865842362,15.074712637580694
1.2022614526154183,1.2742329264919876,1.3073097624406522,1.3800717926235293,16.494449301904385,15.312264107625824,14.958400074270802,12.968957375466836,0.09948759357930748,1.0797083041016116,1.2450680476755103,15.087533616999307
1.1935076049479114,1.2643737982761336,1.3043400645398,1.3860119154300083,16.558854979719552,15.38561656088016,14.944050723465848,13.164969557393778,0.0818001749195253,1.4198378838172372,1.2547378506675633,14.949664564934604
1.176042606931418,1.2724951241788531,1.302327718670104,1.3443815388440352,16.476352892148622,15.515744277499582,14.87525966813225,12.726839288592403,0.047524397803278044,1.150841899341235,1.2554287285631642,15.028952897471978
1.197400624533186,1.276389167399309,1.2765583252630108,1.3447397344411396,16.147580063221472,15.591076122604708,14.756969169803416,13.875162144244275,0.08056820330291359,0.9085144940053725,1.2591036169840384,14.960587172460349
1.1574537766827802,1.2660294831421357,1.3243487023675646,1.369901464704744,16.190491822278705,15.456700523683647,15.2722126508933,13.404244194155249,0.14520905481911192,2.8099674737113673,1.2601539901916936,14.992041686935321
1.2070537554809297,1.2780949688738765,1.285664232157759,1.398488642030667,16.438568251072603,15.395705379553188,14.822694521519278,13.697807816849185,0.07188182429410339,0.6427650926801974,1.2551662306127904,14.959439555742255
1.1502701566526996,1.2894587842257272,1.3240753986801774,1.3438128809074583,15.906202264827552,15.432670264762491,15.095695547505553,13.087136745847088,0.10740799947879034,1.4417399708397485,1.248394318535742,14.960951773717252
1.1792417211471728,1.2786388402161657,1.2977821601579738,1.3770191358704735,15.962084127793135,15.493682979873222,15.124896502088356,13.348224841318883,0.08776652748074266,0.8961718984402256,1.2467279264367694,15.001516478225437
1.1681621820733565,1.28231174696914,1.299687815907855,1.3737583683717685,16.29989578299692,15.442729331304276,14.986293174055799,13.576054044303817,0.08691322740630843,1.0899748760096841,1.2576004357622117,14.900947205799989
1.1681621820733565,1.28231174696914,1.299687815907855,1.3737583683717685,16.29989578299692,15.442729331304276,14.986293174055799,13.576054044303817,0.08691322740630843,1.0899748760096841,1.2553140747831195,14.907036381637614
1.176638963311495,1.2645737161726733,1.3022131008091462,1.3643344894844904,16.05748917038484,15.409692643519374,15.015171868059284,13.078359293319869,0.09735733787372271,1.0423559973763505,1.256571883778642,15.203799242572774
1.1600510603021528,1.2839793699288595,1.30373982966795,1.3691784565170628,16.170662932859905,15.389412015994804,14.968251545085842,13.794733264355244,0.08056741595534005,0.9104929438493788,1.264220308025569,15.091051942295874
1.173272179966218,1.269565661404993,1.3035113526648099,1.3836615290375893,16.162164441930358,15.425057754680855,15.008807717145217,13.239998589846207,0.1934813173356441,0.8087741857067,1.2546606369451343,14.975351995982013
1.173272179966218,1.269565661404993,1.3035113526648099,1.3836615290375893,16.162164441930358,15.425057754680855,15.008807717145217,13.239998589846207,0.1934813173356441,0.8087741857067,1.2518056489524438,15.094467603296764
