,Gamma,Lognormal,Weibull,Exponential,Gen Lognormal
Gamma,0.0,-1758.8175977233623,1222.5893378000765,9009.597201366036,-2143.0580654871883
Lognormal,1758.8175977233623,0.0,2981.4069355234387,10768.414799089398,-384.240467763826
Weibull,-1222.5893378000765,-2981.4069355234387,0.0,7787.007863565959,-3365.6474032872648
Exponential,-9009.597201366036,-10768.414799089398,-7787.007863565959,0.0,-11152.655266853224
Gen Lognormal,2143.0580654871883,384.240467763826,3365.6474032872648,11152.655266853224,0.0
