Epidemilogical distribution,Gamma,Lognormal,Weibull,Exponential,Gamma 3p,Gen Lognormal
icu_stay,1784.6048850113584,160.50440680998145,3551.56487242796,7568.008197098068,179759.90713299336,0.0
hosp_stay,13705.279845475276,177.9016179772443,19157.024685612934,23439.78406133462,219187.6810720185,0.0
onset_icu,3735.841745047743,928.3184555836488,5718.721787588991,15372.773115816875,99057.53721364788,0.0
onset_hosp,6284.611918218085,1156.0856246475596,15042.612995314295,47793.38118195988,133422.41942470003,0.0
onset_death,460.01395408439566,7.447201320872409,2339.510146183602,8631.483924783068,212046.5755384401,0.0
