a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],c[1],c[2],c[3],c[4],sigma_a,sigma_b,sigma_c,a,b,c
2.0081662600138106,0.46949264632737603,1.4631028654039335,3.165747476939351,3.39062518344216,2.5026862045318907,3.1769646403233227,0.7623504506328976,0.7872157467017928,0.21193132015142777,0.4797970933300382,1.025807437178411,0.4005466753693325,0.2815522855057248,2.253938030759693,8.359452860853422,4.1064068021699,0.18125962045433097
2.008163770330202,0.4694926626170118,1.4631027548328144,3.1657475732057456,3.3906244837553636,2.5026862208840823,3.1769647053289516,0.7623504883098481,0.7872157051943102,0.21193130311230865,0.4797970396225545,1.0258075634550894,0.4005467099995549,0.28155217218200196,2.2539379726593216,8.36023671584716,4.106412650356795,0.1812597400203515
2.008160743423301,0.4694926686650468,1.4631028518677436,3.1657479299788536,3.390624453787642,2.5026854285535425,3.1769652203326966,0.7623505724748014,0.7872155695298726,0.21193133403423872,0.47979703916670335,1.02580777708007,0.4005467718523178,0.2815521702721703,2.2539378465908655,8.36042192373773,4.106413873257137,0.1812597940971653
2.008157645123671,0.46949271906095363,1.4631029178433796,3.165747548344606,3.390624945471013,2.5026856000270836,3.1769658556211002,0.7623506144467493,0.7872155231784287,0.21193130817487404,0.47979698108351077,1.025807640703151,0.40054665006087814,0.281552127063658,2.2539380040959176,8.361188938980902,4.106411690161814,0.18125985290762311
2.0081549969170878,0.46949280899602175,1.4631028094111547,3.1657471240700596,3.390624847474065,2.5026860317606836,3.17696543791079,0.7623507415472331,0.7872157108376229,0.21193126843017085,0.47979687568413815,1.0258074865778855,0.40054673254060175,0.28155206872351746,2.253937531704088,8.361359184035546,4.106410695302351,0.18125980329786226
2.008143355477072,0.4694928048388443,1.463102444331271,3.165746100924299,3.3906247131564022,2.5026859977702496,3.1769651371948076,0.7623507460585294,0.7872152430286327,0.2119312197433082,0.4797969277526046,1.025807653051506,0.4005467747674491,0.2815521065808917,2.25393715689192,8.361537874864934,4.106412633669368,0.18125974238074402
2.0081406999679325,0.46949275366848464,1.4631026624323145,3.1657457936907396,3.3906249083160884,2.5026862653604334,3.17696567947735,0.7623506538614655,0.7872153105178717,0.2119311783933433,0.47979701333386326,1.0258075245060503,0.4005467947024464,0.2815521473605697,2.2539371011239115,8.361732231530182,4.106411171533468,0.1812597686001075
2.0081296774683324,0.469492857015471,1.4631035184934886,3.1657462291346823,3.3906261882333344,2.502686585381831,3.1769657179421373,0.762350799774591,0.7872152444666003,0.21193115352611686,0.4797971408150045,1.02580762492856,0.40054662434956506,0.28155211118574064,2.2539375399848693,8.36187125594223,4.106410195864117,0.18125978567589604
2.0081174691105903,0.4694927396436545,1.4631039388177858,3.1657460927892798,3.3906263705753026,2.502685986284755,3.176965316820296,0.7623503458415012,0.7872148403209397,0.21193118880444708,0.4797971367317307,1.0258078069341814,0.4005465063802545,0.28155213815573393,2.2539385366790348,8.362044925359614,4.106409704975805,0.1812597576307741
2.008105012156472,0.4694928010638791,1.4631044138999991,3.1657481547958297,3.3906258854188605,2.502685795566658,3.176966714034641,0.7623508076252176,0.7872147904198122,0.21193119217295897,0.47979719540708926,1.0258079367240724,0.40054644013645724,0.28155218697967416,2.253938351014747,8.362951882330876,4.1064115697735755,0.18125968406099774
2.00810270657045,0.46949277312621357,1.4631044083589997,3.165747774774996,3.390625880622048,2.5026853846916,3.176967529609019,0.7623506654634034,0.7872146887625102,0.21193115938104545,0.4797971836769817,1.0258080454739125,0.40054638736280607,0.2815521807671802,2.2539379158121844,8.363723667100945,4.106413095855938,0.1812597631322534
2.008074899921302,0.4694929822596331,1.4631041737661212,3.1657485405219847,3.390624732217191,2.502685067602856,3.176969722594823,0.7623507750857951,0.787215081188492,0.2119310316185558,0.4797977950878578,1.0258083024350901,0.4005464663340253,0.28155208321431235,2.2539383444800274,8.363723667100945,4.106413095855938,0.1812597631322534
2.008071449851717,0.46949293899050254,1.4631039615245403,3.1657494031243427,3.3906255380083827,2.502684854767643,3.1769696017666593,0.7623506671154555,0.7872151062086467,0.2119310313267689,0.4797979903957406,1.0258081711253337,0.4005464757698786,0.28155204607685164,2.2539384379635563,8.364463872820686,4.106415120873504,0.1812596651206142
2.008068464328016,0.4694928990768411,1.46310415111624,3.1657503460112424,3.3906252427443513,2.502685045128085,3.1769692731935963,0.7623506684174061,0.7872153058933574,0.21193100113030974,0.4797978833926161,1.0258083759709467,0.400546477153362,0.2815519822219043,2.2539384058095284,8.364655950322646,4.106414772866382,0.1812596936570073
2.008064978374389,0.4694928631636522,1.4631037958975124,3.165750307262446,3.3906245883722117,2.502684403806583,3.176969969306825,0.7623507831183212,0.7872154153831853,0.2119310178440167,0.47979768282594815,1.0258084257400535,0.40054651350390774,0.2815520664879138,2.253938637957426,8.364864412156965,4.106416773307675,0.18125971228951876
2.008062558540711,0.4694930269641122,1.463104096682432,3.1657506078711397,3.390624701181443,2.502684301924155,3.1769703443660777,0.762350707330188,0.7872153840165393,0.21193107566097208,0.47979773723919267,1.0258084038492434,0.40054650226410854,0.28155205101692043,2.2539384240978997,8.365565020026851,4.106421645120536,0.1812595922411131
2.00805886169213,0.4694931293710428,1.4631043628974503,3.1657505833236543,3.3906245476547228,2.5026840165463873,3.1769706626735497,0.7623505537490424,0.7872152593388427,0.21193110782998972,0.4797977243114232,1.025808427210595,0.4005464919609912,0.2815519915899836,2.253938464133849,8.365747862099893,4.106422415867274,0.18125958523157934
2.0080562835679183,0.46949323320848907,1.4631042511353065,3.1657504389175997,3.3906241288570347,2.5026841058579428,3.1769710666650086,0.7623506366602063,0.7872151514045295,0.2119310745755024,0.4797977513052353,1.0258083670887337,0.40054645602603567,0.2815520065598121,2.2539386843843343,8.367562034773655,4.106419816052831,0.18125992788992504
2.007978890011665,0.46949345114603236,1.4631032361416927,3.1657509604287055,3.3906213196381283,2.5026835791638806,3.17697234208832,0.7623515153884479,0.7872157986698938,0.21193094268765378,0.4797975389158634,1.025809045044913,0.4005465474967682,0.28155209337422565,2.2539376750205253,8.368377249407803,4.106417664374567,0.1812599029837197
2.007903675619685,0.46949249056157205,1.4631026877627775,3.1657523865124935,3.390627584294701,2.5026839179238913,3.1769734507343914,0.7623508784345855,0.7872152492697607,0.21193077374356822,0.47979755543575375,1.0258089481728097,0.4005471947725588,0.28155233659636636,2.2539380334731094,8.369181989132649,4.106416597595551,0.18125993150068145
2.007900357330977,0.469492569475768,1.4631028494421765,3.1657523340425753,3.3906276938301403,2.502684594573048,3.1769736490066607,0.7623510968555143,0.7872154141101418,0.2119308235542088,0.4797977043711185,1.025808808169706,0.40054713872603703,0.28155232353383974,2.253938117945619,8.369360197050403,4.106415421247358,0.18125994949836963
2.0078971067287266,0.46949242502851163,1.4631029053012288,3.165753079661301,3.3906280148935735,2.502684195422878,3.1769741929119335,0.7623511505037261,0.7872154370414628,0.2119308497128143,0.4797977102228151,1.0258087307096475,0.40054704171331174,0.2815523190983416,2.2539382733674995,8.371192913449669,4.106417137696173,0.18126007168839386
2.0078842670892154,0.46949256631188124,1.4631030122176778,3.165751790402455,3.3906269977417525,2.5026859536930504,3.1769725860965456,0.7623512490706121,0.787215374618764,0.21193081704588942,0.47979766497409454,1.0258087229936028,0.40054689714296654,0.2815523103698555,2.2539379125613848,8.371390624802464,4.106417231317928,0.18126003276156188
2.007855468196123,0.4694924955232998,1.4631031768131675,3.165751183025313,3.390626443086626,2.5026866881179544,3.176974890174021,0.7623510117808514,0.7872148109726518,0.21193083678693678,0.47979748938711986,1.0258082349920934,0.4005468432385634,0.28155241727262104,2.2539372853937936,8.37158399664236,4.106416981452773,0.18126009730031817
2.007803602835731,0.46949243479868924,1.4631027559759415,3.1657536409186586,3.3906273112834686,2.502686417539622,3.1769757596469077,0.7623509771012663,0.7872154430215421,0.21193084837535375,0.47979772626821415,1.0258084658066258,0.4005469629178196,0.28155198031645656,2.2539381224649477,8.371755640049544,4.106418684634856,0.18126012852861798
2.007800757937213,0.46949242450193557,1.4631025763346586,3.165753155374802,3.3906267798272993,2.5026869763646227,3.1769750089038986,0.7623508279187204,0.7872155092008709,0.21193086740596623,0.47979782935876036,1.0258083424875153,0.40054691598767506,0.28155194693551816,2.2539380170252197,8.371950533019469,4.1064174152423245,0.18126013026501767
2.007797243362459,0.46949249817860844,1.4631023251892947,3.165753070840834,3.3906271919851325,2.5026865982862607,3.1769751793102974,0.7623509051689061,0.7872153765432628,0.21193085836497144,0.47979782003632626,1.0258080685183542,0.4005468756512517,0.2815519573442152,2.253938230712557,8.372749881612878,4.10641913103145,0.18125999201125464
2.007767805728419,0.4694923029188806,1.463103308946575,3.165753356963757,3.3906269334063155,2.5026868813237946,3.176975423381464,0.7623509589989735,0.7872151652626661,0.2119308585975986,0.47979810627067915,1.0258079501911705,0.40054674554295217,0.28155194365569725,2.2539389830628496,8.37294619875676,4.1064162340556525,0.1812599852539078
2.00776506071566,0.46949233860791617,1.4631031786319644,3.16575427000895,3.3906266690241775,2.5026869217429715,3.176975863056396,0.7623508717738968,0.7872151998774493,0.21193087669790178,0.4797982022643161,1.0258079397846784,0.40054675244840954,0.2815519775020283,2.253939212446042,8.373127157189888,4.1064160689213285,0.1812598651108846
2.007761757434562,0.469492322012459,1.4631031516375506,3.16575421582164,3.3906264241931314,2.502686760218776,3.17697541843369,0.7623508954218624,0.7872152416157827,0.21193086832739436,0.47979814115126024,1.025807742663896,0.4005468129372692,0.2815519669002933,2.2539389406982884,8.37332586201497,4.106414962835486,0.18125987290128853
2.007758156731179,0.46949230919168355,1.4631031138404769,3.165754124005101,3.3906264678316758,2.5026866305713478,3.1769750929927985,0.7623509755117439,0.7872153430235568,0.21193086261842586,0.4797980236089076,1.0258075898950707,0.4005468722818535,0.2815519955588532,2.2539386844163705,8.373467798018547,4.106416202988757,0.18125981435093824
2.007754993808257,0.4694922060800741,1.4631030385583101,3.165754308743426,3.39062603658848,2.5026863830529957,3.1769746541400443,0.7623509156427487,0.7872155830175942,0.2119308048458909,0.4797980569367949,1.025807509887449,0.4005469156804646,0.2815519836715588,2.2539387046171706,8.37366063478006,4.106416635645706,0.1812599233043331
2.007741164467977,0.4694923756005101,1.4631029750139515,3.1657548330211585,3.3906261486773297,2.50268638967089,3.176975021918661,0.762350926245969,0.7872152158989891,0.21193080361786304,0.479797984714299,1.02580744851849,0.40054690725341335,0.2815520765725445,2.2539384473606567,8.373842951207727,4.106420930699558,0.1812598468374847
2.0077375564821116,0.46949240606191306,1.4631030899916357,3.1657553009203285,3.3906258343038815,2.502686255082805,3.1769753794025344,0.7623509171886484,0.7872152421528212,0.21193079138760412,0.4797980217566701,1.0258074753179822,0.40054680546396665,0.28155218080658534,2.253938792169141,8.374045654606688,4.106419859361249,0.18125990923135374
2.0077339644956402,0.46949226620784856,1.4631030593277612,3.165755821627016,3.3906260556041468,2.502686238532001,3.1769745378375327,0.762350857316434,0.7872153294647347,0.2119307954495234,0.47979798849735045,1.0258074446856236,0.40054686830937913,0.28155221395308794,2.2539392326988392,8.374198957148186,4.106416695870509,0.18125989514298832
2.00772101276744,0.4694919860059775,1.4631032630352405,3.1657559452002904,3.3906254423001165,2.502686109974874,3.176976394595111,0.7623507471207899,0.7872152688933187,0.2119308374357913,0.4797980758166385,1.0258074149666807,0.40054688586113,0.28155229186433334,2.2539391707850656,8.374395976927406,4.106416457153251,0.1812599382155781
2.007717427391071,0.46949186443597957,1.4631031860292751,3.1657570869893625,3.390624798238328,2.502685731417592,3.1769773928870437,0.7623508473251742,0.7872152206826427,0.21193084744550994,0.4797980979923454,1.0258070159627828,0.40054680126163195,0.28155228511370173,2.2539387707180234,8.374577025458395,4.106415588788309,0.18125996764830718
2.0077040999633957,0.46949186645416674,1.463103236356919,3.1657582576762264,3.3906252274676216,2.502685997089939,3.17697587768702,0.7623504240867575,0.7872154600437428,0.21193079702939757,0.47979808685154596,1.0258073761773472,0.40054682706435407,0.28155222354483095,2.2539390716613,8.374752998124844,4.106414284732014,0.181259855532128
2.0075830356362876,0.46949227207636496,1.463102600713059,3.1657568333022668,3.390626473635208,2.5026880781345704,3.176974303184891,0.7623507394965848,0.7872146452050123,0.21193072973074437,0.479797663974457,1.025807903036887,0.4005465152381775,0.28155234899951465,2.2539396768769935,8.374943905955435,4.106412483197184,0.18125987240589306
2.00758013487637,0.46949218237585394,1.4631025016315853,3.1657569532240464,3.390626187893055,2.502687735095002,3.1769735661625402,0.7623507420445619,0.7872146403169465,0.2119307439268835,0.47979768052095506,1.0258080449491562,0.40054653155532244,0.28155232219657234,2.2539391879568584,8.38001425127063,4.106403565294591,0.18125989039689924
2.007548554741106,0.46949198051655844,1.4631014902067225,3.1657568563344163,3.3906252185992853,2.5026879134662,3.1769748100511976,0.7623511376821108,0.7872143688176084,0.21193074416701607,0.4797977731652429,1.0258069593642178,0.40054642792438744,0.28155232821081727,2.2539392855264406,8.380206577598008,4.106405704618645,0.18125987158835416
2.007517544000269,0.46949192788372585,1.4631009479382657,3.1657580775040346,3.3906236544499078,2.5026888434846546,3.176975502636433,0.7623506931870484,0.7872148666399444,0.21193071196581378,0.47979777550826486,1.0258072424001974,0.4005465689500112,0.2815523581325084,2.253938935359796,8.380935308164332,4.106406931249034,0.18126002950491835
2.007502953810243,0.46949209200830977,1.4631015152401425,3.165758050657169,3.3906228371355605,2.5026896151774234,3.176974155268472,0.7623507191068315,0.7872152268022434,0.2119307283762285,0.4797978487072568,1.0258067714199073,0.4005466175684152,0.2815524308885972,2.2539384954121577,8.381123565827059,4.106406698562199,0.1812600071111323
2.0074889743797004,0.46949193663754585,1.4631012642242034,3.1657572752631444,3.390622386016686,2.502688656914977,3.176973232078915,0.7623506418658212,0.78721537680759,0.21193077483473766,0.47979774804547154,1.0258064153444213,0.40054668915531644,0.2815524722934272,2.253938530807294,8.38129865656565,4.106404175377732,0.1812599289483841
2.007475426894051,0.4694918527104701,1.4631017313206764,3.1657565088271156,3.390621814598077,2.502687628801854,3.176974314758239,0.7623505575887424,0.7872159068064415,0.21193076531481786,0.4797977816075567,1.025806845785614,0.40054655578847176,0.2815524721151139,2.253938320347806,8.381476865791157,4.106404389590559,0.18125983509658206
2.007472309721866,0.46949179509518224,1.4631014455976603,3.165756180908373,3.3906209431474235,2.5026874457949155,3.176974188750464,0.7623505097661918,0.78721578738556,0.21193077745330133,0.47979781823779605,1.0258068151723159,0.4005465325744118,0.28155251852620666,2.253938307833621,8.384592543098702,4.1063976028215246,0.18125927654512516
2.0074584104999,0.46949174248536113,1.4631013520310812,3.1657566402848216,3.390619631720578,2.5026878459405504,3.176973283089997,0.7623505385376765,0.7872156162228602,0.21193078196937845,0.47979795487673443,1.025806616139714,0.4005465241971149,0.28155262026415945,2.2539380646603373,8.38478694456032,4.106397220637833,0.1812593231518515
2.0074553749485435,0.4694917068404222,1.4631012829741659,3.1657571599134373,3.3906197778596816,2.5026873244162164,3.1769727804746757,0.7623506698382388,0.7872158364603431,0.21193084367755868,0.47979785021776195,1.0258064406030263,0.40054650553719495,0.28155260788112213,2.253938540256798,8.384937049446854,4.106397933450715,0.18125925850823776
2.0074519186172717,0.46949173150811846,1.4631012617279653,3.165757666111349,3.3906188963108317,2.5026872816837735,3.176971692294823,0.7623506280926773,0.7872157019507923,0.21193085370933773,0.4797977915307488,1.0258063934273995,0.4005464314902716,0.2815526950123846,2.2539383133862394,8.38679365091423,4.1063964329805325,0.18125934556873832
2.0074483258546962,0.46949182792356,1.4631016473244867,3.165758016568737,3.390618863908549,2.5026876601766332,3.1769720535062023,0.7623507052009367,0.7872156812508369,0.21193085985645999,0.4797976519089034,1.0258063985366765,0.40054645475099,0.2815527128081452,2.2539391361712777,8.386977282326589,4.106394857888327,0.18125921083661378
2.007445061458972,0.4694918370295304,1.463101770501213,3.1657580990948557,3.390619408104251,2.5026876964235267,3.17697237278774,0.7623505956753696,0.7872157736605179,0.21193078563374318,0.47979770361632373,1.0258064590048406,0.40054645021997887,0.281552749025123,2.2539390349871917,8.387156596845834,4.106396736198879,0.18125920426674427
2.007445061458972,0.4694918370295304,1.463101770501213,3.1657580990948557,3.390619408104251,2.5026876964235267,3.17697237278774,0.7623505956753696,0.7872157736605179,0.21193078563374318,0.47979770361632373,1.0258064590048406,0.40054645021997887,0.281552749025123,2.2539390349871917,8.38734264103381,4.106396613618788,0.181259135491363
2.007431036638757,0.4694920079889477,1.4631024949876847,3.165758835869936,3.390621299837384,2.502688886568789,3.1769714156992817,0.7623503921571286,0.7872156151297054,0.21193077667842872,0.47979766490686926,1.02580639122388,0.4005464412292128,0.2815526589404873,2.253939139406083,8.387528838843755,4.106397082382382,0.1812591010790404
2.0073047225574636,0.46949216050809506,1.4631028765524188,3.165758918368719,3.3906203766084286,2.5026898209634485,3.1769698628654734,0.7623503557104404,0.7872150703844764,0.2119307122066874,0.4797975680041291,1.0258063382045441,0.40054618360264577,0.28155282003021165,2.253942052991673,8.387735117601903,4.106397640640779,0.18125909909628327
2.00728997322414,0.46949212443796395,1.463102867530717,3.16576004564597,3.3906190898826525,2.5026892230215934,3.176971039376778,0.7623507042580836,0.7872148905952452,0.21193083295427342,0.4797976188724527,1.0258062323151724,0.4005462367305759,0.28155277555367836,2.2539417394896675,8.387962100636061,4.10639611533562,0.18125915514419053
2.007286936658144,0.46949206243194697,1.4631031206076637,3.16576041548143,3.390619111264966,2.502689240407338,3.1769711220313157,0.7623508042685201,0.7872145752719468,0.21193083524170642,0.4797976163437783,1.0258060654449983,0.40054624370853964,0.2815527472153333,2.253941350856045,8.388151866861687,4.1063947511114005,0.18125907488550447
2.0072832206874964,0.4694920337391458,1.4631035698133013,3.1657612138379387,3.3906194941160392,2.5026889675968365,3.176970761426302,0.7623506300568871,0.7872146695206607,0.2119308145327933,0.4797975459878305,1.025805994518518,0.4005461221736351,0.2815527253601202,2.253942021383038,8.388956919593896,4.106394637256148,0.18125889043002247
2.007249430106423,0.46949234796262995,1.463103481115978,3.1657634243754416,3.3906196736097307,2.502689618226955,3.176971765529592,0.7623506679641361,0.7872148236771583,0.21193085035893702,0.4797975770569389,1.0258061765815714,0.4005458969872728,0.28155255407942403,2.2539411255680912,8.389152331099272,4.106394551247328,0.18125885979421122
2.0072458573741896,0.4694923134963012,1.4631037271961156,3.1657640385303294,3.3906199009206808,2.502689882671587,3.176972758590501,0.7623505749038482,0.7872148891355834,0.21193088775926147,0.47979752803918374,1.0258061550499267,0.4005458340933995,0.2815526070337944,2.2539411840291868,8.389336793030894,4.106395500041764,0.18125894886941105
2.0072422199099815,0.4694922988092519,1.4631032972024296,3.165764359910043,3.390619871898496,2.5026895869788377,3.176972627433923,0.7623505850217324,0.7872148898867573,0.21193085532593048,0.4797975063792251,1.025806402114137,0.400545826537799,0.28155256673172163,2.2539412964983447,8.391242521623965,4.106393620271447,0.18125911527209254
