mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_mu,sigma_sigma,mu,sigma
1.9284448566648285,1.8322452424505122,1.851026661277349,1.7373556265110373,0.9531962631050626,0.82524598093875,0.8076381484903978,0.8060536788138836,0.06791363733432128,0.11120870161337815,1.8567499101075942,0.8555689722814521
1.9268330558021427,1.835381529390208,1.8447066220712682,1.7355537256873914,0.9501053732788934,0.8301569968625119,0.8053307563237646,0.8054654603618124,0.08215551683172641,0.03697101245316269,1.853354993252332,0.8547102444721257
1.9221132357089743,1.8348926583055527,1.8487974144368118,1.7353022018751305,0.9437184472701079,0.8280917702767782,0.8065164360652018,0.8114595900533134,0.04782530740833404,0.10926090149755724,1.8533346398772552,0.8548869824805796
1.9270702545403098,1.8443611776691977,1.842677388749766,1.7456626133068383,0.9493744238284617,0.8270657473259191,0.8106386093507549,0.8019720590439072,0.08608063607832661,0.04833891882017406,1.8553284977627371,0.8561493217622164
1.9281149414041292,1.8288618220121486,1.853245399030071,1.7120179467649685,0.9455684341077009,0.8180600070516074,0.8020871553799828,0.8040797681633746,0.2792461841910635,0.10274758614475847,1.8553284977627371,0.8561493217622164
1.9209128413818108,1.8435225636647263,1.8488908405394058,1.7477579191029249,0.9457371055977459,0.8284118228286387,0.7987721958957302,0.7982976767293598,0.04444715222460345,0.09050388040383078,1.8575386344832232,0.8528506203510332
1.9378173210643075,1.8310336514190406,1.8444015827607751,1.7326539533279763,0.9498638566907855,0.8205480232954853,0.8051835653374205,0.7976501288757716,0.1488688305410802,0.04547688249580384,1.8529529175211312,0.854084013206031
1.9444707737141818,1.8431735574924961,1.855906662685684,1.7294212657214758,0.9537061976617601,0.8287766007431743,0.8024026362102222,0.801261488640597,0.08040862302884952,0.08941656451689513,1.8563710033674103,0.8581825231093936
1.9302279296274942,1.8274397013322081,1.8494299558436353,1.7290378971573797,0.9392771677422317,0.8185471888744336,0.8104299423806433,0.8068527078143535,0.16511178193001733,0.04571362873823807,1.8626008264889105,0.8543966407611675
1.9358418690767576,1.8256896276228614,1.8503604748180542,1.7348695181614406,0.937124352039771,0.825052623263273,0.8036090062964838,0.8027813901161586,0.3120755254056214,0.058590050335297315,1.8626008264889105,0.8543966407611675
