,Gamma,Lognormal,Weibull,Exponential,Gen Lognormal
Gamma,0.0,-532.2263048475143,1157.4541012183763,3979.287673478335,-593.3659195934306
Lognormal,532.2263048475143,0.0,1689.6804060658906,4511.513978325849,-61.13961474591633
Weibull,-1157.4541012183763,-1689.6804060658906,0.0,2821.8335722599586,-1750.820020811807
Exponential,-3979.287673478335,-4511.513978325849,-2821.8335722599586,0.0,-4572.6535930717655
Gen Lognormal,593.3659195934306,61.13961474591633,1750.820020811807,4572.6535930717655,0.0
