alpha[1],alpha[2],alpha[3],alpha[4],beta[1],beta[2],beta[3],beta[4],sigma_alpha,sigma_beta,alpha,beta
2.057028682885219,2.0553984560814005,2.1188273376632214,2.066729412394079,0.11724740032985376,0.10951832917707006,0.12133486331266742,0.13808373880366248,0.05467764888437931,0.023170098912843225,2.060303434170421,0.11686196542357208
2.0590935853791152,2.0303540527195314,2.1487877327960603,2.039927484867664,0.11942644396100516,0.10756376093592604,0.12359009739245626,0.1362625420699973,0.05972972439104943,0.05490305838571188,2.060570171411515,0.11769451765467137
2.0600835529922787,2.0231330171976056,2.1421778422098408,2.058807075197909,0.11879977965841726,0.10779134372476915,0.12399503219637739,0.13467135178600614,0.10796010566875815,0.04847452936306018,2.067635681991572,0.11805973065334688
2.0350519405682497,2.031714379999858,2.112410202900417,2.0679446945980806,0.1185068980820663,0.10771721342820947,0.12229868469862756,0.13846340064648682,0.03690086561649884,0.013970513397026037,2.06935145827777,0.11756357742981793
2.0464423880690847,2.0849470686849045,2.094735536763299,2.064368401854838,0.11828876211146835,0.11229915624780647,0.12115151965041843,0.13867778986560503,0.030403820157517712,0.01739815304199623,2.0891494349562323,0.11871243000091078
2.0829365055527607,2.050142714071196,2.1304067170153305,2.0660194521753725,0.12080576177658245,0.10974011189895003,0.12232961170741415,0.13809722804727484,0.04164935042394238,0.012948612371134129,2.05932848603987,0.11775436455235415
2.0831961741829654,2.072009537052048,2.1130783555188164,2.0781335650359436,0.12054957371176235,0.10995610999727141,0.12063958093563099,0.14189521848215642,0.031688474825416375,0.0316361114689267,2.0613856110712807,0.11766587484487695
2.022650940560421,2.132951585303497,2.1336456217343973,1.8878850088363324,0.11771709365755624,0.11310176952994215,0.1223436789726095,0.12649413621911215,0.15345510360066522,0.0034065565775014206,2.067143326725365,0.11753711835647705
2.0514685397946044,2.0688284043609597,2.125369491611696,1.8765078631358305,0.11785373043998311,0.11229512768911647,0.12064632034970268,0.12083361615965896,0.11498116867267259,0.0040407934494839344,2.0587374754425296,0.11750740978672994
2.0452395786566937,2.130442719596368,2.110977094397765,1.9101377061634621,0.1191083398521913,0.11268353552510224,0.12075770791740705,0.13028708883710494,0.1741297915670312,0.006008321433488873,2.0643777568060275,0.1177633633829143
2.0746132139071554,2.115162927209137,2.1085855039644246,2.006603305848026,0.1209808086221249,0.11228475529908367,0.12068880398228407,0.1378207950101504,0.07532479585453543,0.008084054037082336,2.048354090513146,0.11613968339282267
2.035478394587936,2.0366814492097665,2.1149437783307357,2.0416166668714593,0.11797230377041924,0.10878200119653568,0.12158092771603544,0.13688115738276868,0.03789051609790258,0.015536393299141327,2.048125127256678,0.11611501384178773
2.0636178825120917,2.024349349821689,2.1084112998076012,2.0662851117258856,0.11709092114114483,0.10669327408389595,0.120185129477016,0.13768858959785207,0.030599888437046304,0.011734966250715557,2.0355372390072475,0.11623295682317351
2.0915169654789496,2.0358610466902567,2.1297447696518086,2.0315604078393736,0.12027410812520571,0.10730392476564955,0.1216203662605997,0.13397257696781667,0.08659464565162284,0.0232220798940872,2.061506776688404,0.11815356024244342
2.070033047128606,2.0554633124444566,2.1683042594600144,2.005775041940379,0.11988576123421783,0.11016691137610214,0.1228206639773409,0.13570450149464033,0.0447374185454236,0.00891541047874605,2.0611884619523875,0.11789744578851383
2.036775461758851,2.0983616433535883,2.130640006910114,1.9570654289467435,0.11784293408768931,0.11277473304720982,0.12343568296970762,0.13252695326758412,0.06591154027286815,0.01238469857526049,2.0768932822991064,0.11893300036546907
2.065990525147146,2.076368952139858,2.110259205000992,2.069900095124944,0.11956033167482301,0.11169106949306543,0.12036588494527305,0.14170814683027924,0.020807373103708518,0.01787768446773709,2.07647562202818,0.11890229800462507
2.0668078966814907,2.104916857148431,2.1771417540495617,1.967888567447153,0.11956027291402413,0.1122687349212611,0.12490677804256316,0.135450273284281,0.11111115628327306,0.011563905971333546,2.0815581177296587,0.11863900485611432
2.071132801752451,2.063519989748297,2.1480380893570916,1.9823670208612125,0.1191762130766371,0.10915900080961445,0.12323180437518182,0.13191316859399144,0.0698417255225114,0.015295646825156101,2.049970760588365,0.11690895638763757
1.9744422198864244,2.0737514454906862,2.12362095397857,1.9196564377156053,0.1139193105256477,0.11022148859306449,0.12155399742837675,0.12905076079270056,0.1067226209825053,0.010419858735727263,2.076187954242903,0.11878119280201573
2.0452970740557106,2.0510489883223904,2.138733194819525,2.0358089543232034,0.11943060763909717,0.10984411780660258,0.12222832596486133,0.13619692044710222,0.07641153062735269,0.00769858434765823,2.050820950100545,0.11723326467171744
2.0888741722731856,2.0513338642049272,2.1322465888463036,1.966624631675876,0.118176465981325,0.10846837302494056,0.12231253933935454,0.1343591876553716,0.04580457603582072,0.008371909955759621,2.0568594690723025,0.11720596317160463
2.055513956895309,2.0466761553635178,2.1398402659601126,1.9954531565591545,0.11858865543473314,0.1085858463146767,0.12270194740564543,0.13399416361044927,0.0664063649960572,0.007615837561374765,2.0811965240055486,0.1185527123706041
2.0220839538551805,2.118645129130242,2.118034935345235,1.9922302608250173,0.11658252783891304,0.11099646174060074,0.12048840883353021,0.1318962844689599,0.09428133764630543,0.006918861601610009,2.078984235778426,0.11857621434945212
2.011202788249911,2.0940000141074404,2.1131831885986414,1.9669546086015313,0.1157021101864254,0.1130378602765159,0.12286103828653737,0.13438513086431403,0.08461799213849609,0.008447887974216518,2.026231843737973,0.11526173124866361
2.022199067390218,2.0302352786621403,2.1240645211542475,2.0339283915539417,0.11605199457565922,0.10680818093502592,0.12352810821605739,0.1385202602089568,0.07585048276240328,0.012358260177480257,2.045665334823568,0.11618640637379989
2.0335454488051172,2.037867320779005,2.1329254795690114,2.0283792333910924,0.11766200354586877,0.10902398249528208,0.12133968992066935,0.13333641335217022,0.070424362305797,0.017341011260890084,2.0409421750868595,0.11623937213690955
2.028970978642857,2.1277202187244906,2.1449598357978688,1.9040194140207278,0.11698166620091585,0.11366708842492261,0.12184838381253321,0.12933786964985275,0.15381148362071004,0.003389238949316505,2.0783354058489603,0.11864722112137989
2.0277360803155613,2.0909069138382623,2.131042510810386,1.891868756754152,0.11752302896949261,0.11195981799761644,0.12184361566160251,0.12180276648691521,0.09253584256207127,0.011695535547463512,2.0715579288017203,0.11794405034161719
2.019098755732499,2.0761337868658,2.1251830746835534,1.874814355003448,0.11597068610053601,0.1105274924283414,0.121509366491081,0.12577796123159493,0.1906592024114062,0.0076958120415097225,2.074405788910536,0.11836854544763455
2.071547360868891,2.067956231297357,2.1553044993294366,2.150211203127422,0.11952847402087342,0.10872539066895107,0.12215683890430182,0.1449720323951135,0.09365089765458984,0.019653060017779358,2.077937379053225,0.11750503171267858
2.0342423965992866,2.0511087726527335,2.1106655637363207,2.0178275550452955,0.11696975634562781,0.10785903991732847,0.11907620550333879,0.13279511157562973,0.04759726636363529,0.010740797790439294,2.0721144486688727,0.1177104272070144
2.0556566726687286,2.036048184860208,2.0931101553634277,2.013529015212004,0.11672404559308217,0.11020920939939115,0.11969937561507825,0.1374007686820828,0.06135889813800954,0.010862048360418836,2.057454117253311,0.11769340404998564
2.053409425408195,2.0797712380122295,2.0956297013153926,1.9946288584683427,0.12098680988517016,0.11023404994636925,0.11983004907777152,0.13069286431043778,0.0920553106411788,0.011523537136162509,2.064211280875934,0.11709130326370261
2.075700583762094,2.061282727666342,2.1232381055989102,1.9663367591539398,0.11789606349990583,0.10988590124129957,0.12211869252990928,0.13239436724674075,0.06289329635188957,0.013265641536736723,2.0722757721905425,0.11857287567166089
2.008358692358522,2.047939747463487,2.1032948497239503,2.064002360484394,0.11680211818740466,0.10965567368816909,0.11953376511163015,0.1357734905126491,0.03575901710336134,0.015397439623260827,2.087681049827978,0.11853188670123449
2.063424570116219,2.1020710989374276,2.147824159036541,1.9455637268945751,0.11981947727255329,0.1132173610782957,0.12228780058425645,0.12837052194146045,0.1571178016543961,0.008881464747302751,2.0820627024748375,0.11888295395528546
2.052755248285476,2.106318817204296,2.096173158676911,2.0096995165277485,0.11811080426747554,0.11186790888630696,0.11977022858453243,0.1356757611307638,0.055196404387139734,0.006538592949393095,2.0863234401986235,0.11846723407887724
2.053462225407718,2.0774911416332604,2.164128603019039,1.9731218249560478,0.1180437082546035,0.11003804537067598,0.12439169173687119,0.13494656646373668,0.06315862126024058,0.022302572718736653,2.068615237585073,0.11793970204390125
2.0438300230447046,2.11764159707312,2.112130729804615,2.0743228857113625,0.11920033897226692,0.11512509570754863,0.12046638859845574,0.13675770427534814,0.04225770910585612,0.009679401727944115,2.0748214523160335,0.11751018741523325
2.0369226489355254,2.102913332473144,2.1133766561024667,2.0110536649824864,0.11846354509078513,0.112048767807675,0.12088392406743323,0.13640547154394037,0.05506096456376345,0.01140037889620584,2.0748162223221374,0.11788837976350097
2.0278791715436864,2.0897133137042414,2.1398612845865275,2.0947105397821386,0.11630183707815785,0.11201908228053804,0.12228245807955171,0.13760942008199345,0.0474942308667429,0.01162404812733657,2.044290896056208,0.11658898199573091
2.0443502108157374,2.030790878590163,2.0906593623309204,2.0653279102098456,0.11883174943596508,0.1088824630596202,0.11921454738050534,0.13237568742855385,0.08953476047824346,0.012339047594196724,2.068778144764982,0.11751819479616822
2.050764807180279,2.107580281128001,2.1438453714612256,1.9692925162909454,0.11855845007088811,0.11205318271772485,0.12204779822396837,0.13817223107750293,0.09490506607417454,0.0304564796210021,2.065246378815244,0.11808449058720132
2.042366351263813,2.078269867139243,2.1204904933223543,2.090403197290863,0.11797872556135303,0.11114950298415054,0.12183838079715546,0.13511028378604292,0.03185236826830238,0.019055999904755587,2.0632116624315917,0.11702057469252304
2.0539315202307766,2.047140584424223,2.1449986058291275,2.01937467577597,0.1188472389758401,0.10913309682247976,0.12249526517250027,0.13236374567962256,0.060300818792576975,0.00923091052432847,2.0793052119540176,0.11922642108385183
2.040873628998048,2.0636654665169414,2.155005965482634,2.0223010797185186,0.11830307207600142,0.11004676592178934,0.12303815498172538,0.13632365024553456,0.05026251856972847,0.008544079721119945,2.074636877758755,0.11897607841957236
2.0697161738513454,2.0496841123860934,2.1393232258053714,2.042689950169817,0.11915773673895222,0.10894859995434487,0.1223692561738423,0.13782009186711627,0.049325400147235486,0.01447812964955704,2.080101023275443,0.11830743450239792
2.0452523603234702,2.0829560400120797,2.0965185388046175,1.9925324603314307,0.11776799728073986,0.11124500734824781,0.11999830851822361,0.13303170601842854,0.03781535201107774,0.007242653833460119,2.0868651145340986,0.1192059228653393
2.0966537959294507,2.077527588657157,2.0715421292902483,2.0639290467234535,0.12180967047415106,0.11121377725135827,0.1190462610224688,0.13115365313463137,0.021793136626925762,0.004924475991976865,2.074868169632183,0.11807371319624267
2.0220319663668462,2.091709078492919,2.154476392965786,2.1195246300677817,0.11621378984472341,0.11153813902877259,0.12357773777332924,0.14112520521784902,0.18627819321347558,0.04628765930176798,2.1053732361321797,0.12002699833727436
2.1110521818418135,2.052343083968446,2.091413221703724,2.0674825177530716,0.12199655008164853,0.10944185842834302,0.1204175459782847,0.13580839994309996,0.03068351443593792,0.011263168706889677,2.1036989407323623,0.12027260816597704
2.043602000408033,2.0849316110992295,2.0949999171298703,2.0405736459032733,0.11712818526120723,0.11208559815864866,0.11908742687851871,0.13497884497791374,0.01574881624916957,0.02341206899189396,2.0879941695648867,0.1188932672521479
2.0404328907313904,2.076405970831763,2.110015885682741,2.0458340132270223,0.11748706948767708,0.11123239538251123,0.1204852901381177,0.1372577441043856,0.039980239962212734,0.01742998307137116,2.0552217927725116,0.11705314969469974
2.0873623273993642,2.094392984038708,2.088449483230014,2.0148952448061896,0.1188650553108931,0.11334841751191733,0.11936579511182491,0.1361596662397544,0.03629548957032504,0.006758730690554548,2.062268974228871,0.11820803092388656
2.0905171703420686,2.080634263147409,2.1073754389942527,2.004524555601347,0.12285464198720485,0.1094742945638788,0.12076452016440803,0.13425306783640284,0.10862417624796727,0.021690558908193446,2.0631393888897454,0.11737290071232451
2.106291060957198,2.0865903602820346,2.1048262362267156,1.9853464921059552,0.12158897580581898,0.11026193777508608,0.12075357647467756,0.13417544591873393,0.09054906283659316,0.027944511872113133,2.0692631040569265,0.11800037435364441
2.056903528082038,2.15916683034951,2.1559467723614634,2.052700020627387,0.11827411417805954,0.11435990359620782,0.12432402904964299,0.1377504350523737,0.04912795458770224,0.009730581406075509,2.0990693724282146,0.11995472460952646
2.0459419887582073,2.1173790550761673,2.1221655178474497,2.0365037085216513,0.12020421222879779,0.11115919106701137,0.12241302103790311,0.13825503194193456,0.07695507207117244,0.012335766747996461,2.0937888744247313,0.1185486512119202
