mu[1],mu[2],mu[3],mu[4],sigma[1],sigma[2],sigma[3],sigma[4],sigma_mu,sigma_sigma,mu,sigma
1.7564078203269295,1.8327154055619548,1.844521043479844,1.4728999035166501,0.6978182314367348,0.6965401079678506,0.6299562971906699,0.6003004889845923,0.13528732107393737,0.03318439676583748,1.7864165849855085,0.6672574468205376
1.747781859493566,1.8294103659322158,1.8444181191838467,1.473400360142157,0.6947787483475332,0.6995121742871553,0.6272857007905667,0.5900395010929961,0.24020512476503225,0.07011874199122554,1.7888807300351548,0.6687708925679796
1.746334878278224,1.828220645536829,1.8498821772805971,1.4726780210985966,0.6935155628738722,0.698372593742886,0.6256791240356854,0.5893046290655494,0.25238446385789665,0.05072852750465395,1.7867093284072149,0.6654246301561324
1.7545815192564302,1.834249792897969,1.8461367054777853,1.4770790470078516,0.7011927995308117,0.699473792610056,0.629410896730951,0.5963424948843197,0.13726492365926687,0.060464910733789755,1.7877194312046425,0.6654088146268229
1.7560523392285772,1.8251661966993573,1.8542093272421158,1.471496009965407,0.6920483080650827,0.6996431243384716,0.625716455904672,0.5878307930439539,0.30233935924369876,0.05139637826554758,1.7839571786247488,0.6648907826415732
1.7533583690373327,1.8330465915348582,1.8525800660197274,1.477116605109846,0.7014186659690984,0.6967183201755126,0.6294962419466943,0.5975197829869516,0.17797897944750027,0.058264969712140235,1.789058928625289,0.669978352768376
1.751563453637279,1.8247871206964776,1.8462476813622737,1.4725724285363888,0.6943583184398155,0.7003061947944442,0.6257130742724482,0.58992092004435,0.18424753493223187,0.053156362503930195,1.7890171967384356,0.6704106040183958
1.745000294628989,1.8358056915806824,1.8443888967012172,1.4591315433552208,0.6942900139488547,0.6992916379170142,0.6310384929297105,0.5882728140324915,0.11090944783140214,0.05211688677173888,1.7897064428981206,0.6704480193091606
1.7501800645234982,1.8323363442413654,1.8425910826758622,1.4621749313508379,0.6945970908136084,0.6974127265773182,0.6309052792003872,0.5881280793834611,0.1507968545538349,0.036326029192766215,1.789017971556797,0.6700084766010639
1.7453694726211022,1.8301838467224547,1.844294911374304,1.4636878838650107,0.6965610975217096,0.6964737159925922,0.6226503935214044,0.5941632499134976,0.17364183525198823,0.05012626273535272,1.784361081290533,0.668775652654118
1.7631048640721996,1.8315752239797858,1.8460767465740338,1.4820357589999402,0.6975746923178868,0.6973486530376289,0.6324441923114998,0.5909762524964549,0.22803057090463213,0.0628067694750791,1.7872208537538383,0.6645200582446045
1.7435460338503252,1.8276049771062084,1.8453311715509486,1.4713745701561294,0.6952232527998106,0.6984185594893653,0.6226497472004514,0.5974781088417408,0.2426342171567019,0.04723293866816737,1.7868942775144796,0.6659380028121994
1.7574234166663358,1.8295425907292058,1.848729689962103,1.4835228907240465,0.6991400929259919,0.6936107059097762,0.6299772530952397,0.5996741202858663,0.38440678952610174,0.03707331252114357,1.7859441634367712,0.6684771678584612
1.7499190072995745,1.8309106525182868,1.8415945305847379,1.4690325686292578,0.6946169215153516,0.7027113694199941,0.626503040982866,0.5929286369775281,0.26892128647881886,0.06433678213574073,1.7840226078607115,0.6681960298517667
1.7586162841847341,1.827728284456336,1.8519157706824039,1.4774553377936221,0.6952763193628934,0.6985829043566447,0.6285237363595649,0.5972487352818674,0.1440877649116827,0.08268709783258227,1.7897508021420088,0.6688371566960436
1.74647287018641,1.8290348368733496,1.8409938168324553,1.4739051547246886,0.6990966611879568,0.6974636866498043,0.6258164031968666,0.5862728627286314,0.15431993518729642,0.16260600511605683,1.7866640563603113,0.6687200864278365
1.7609532765773501,1.8340146530704209,1.8501433561384668,1.4741793607655933,0.6954695025508553,0.700902142904365,0.6296421062456452,0.6018393788588114,0.2377723177194433,0.023428461187049155,1.7875872738649996,0.6684946832605034
1.7446231282627627,1.8275194513852562,1.8435941484447866,1.4859948075480627,0.701691695911643,0.6950468068583254,0.6241428381057927,0.5986493049343532,0.10536217011859733,0.07530425364384576,1.7866137658575807,0.6692163567634345
1.7621244511037002,1.8319939679820958,1.845881690048131,1.4707318257954345,0.6943147445156105,0.6970093953654102,0.6308887488592209,0.5828417776758786,0.28226237745460864,0.057607480886643504,1.7858802943652652,0.6637163962156382
1.7437212622479599,1.837461824981187,1.8476689242865096,1.4749436598273693,0.6989230923432616,0.6993005913333106,0.6240656278799094,0.6004509102321535,0.39900182642995674,0.07466014100637326,1.7876068235033749,0.6720494347721226
1.7597942414991847,1.831664527186255,1.844196672012386,1.4752830840242819,0.6958153230106962,0.6985276051325295,0.6276644913185229,0.5860590704169856,0.11145193542827966,0.05302418096342135,1.7876068235033749,0.6720494347721226
1.7622690345118421,1.8302604605025092,1.8417796623142018,1.4760063845245353,0.6991025924325758,0.701954400977142,0.6306301406336163,0.5875947247030395,0.13015821204542083,0.053497532981811466,1.7882078642187478,0.6655000565051888
