a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],c[1],c[2],c[3],c[4],sigma_a,sigma_b,sigma_c,a,b,c
2.6999947570511353,0.454618867989774,2.006456815650217,3.231255855142382,3.566228136608164,2.444570217808443,2.8823537474177177,0.7677345402264704,0.7882257068082066,0.20929582200123037,0.47614814760965524,1.0462749303391694,0.4112780057491053,0.2822277716813933,2.269647867485628,8.996659411558054,3.9417022898656677,0.18152424071732837
2.6999939879201897,0.45461888931688144,2.006451312285877,3.2312555603329383,3.566228020409523,2.444570505547282,2.88235347040455,0.7677344066757613,0.7882258377716823,0.2092957933354468,0.4761482368738925,1.046274802795804,0.4112780365259476,0.2822278095893085,2.2696483540963595,8.997245124939276,3.9417003090795237,0.18152429109450696
2.699993842083047,0.45461894503713013,2.0064495517564516,3.231255814677053,3.5662279089082705,2.4445702831407865,2.882353514860295,0.7677343286649275,0.7882257777960913,0.20929575480513357,0.4761481900418491,1.0462747372230052,0.4112780690325493,0.2822277668312291,2.269648063546475,8.997373388677296,3.9416994392384743,0.1815242485181239
2.699993701092572,0.4546189115318346,2.0064441310378887,3.23125601340133,3.566226956083012,2.444570085851442,2.882353866025683,0.7677345529223563,0.7882257582152853,0.20929564815773144,0.4761482147210479,1.0462746041720536,0.4112780165537177,0.28222773537832896,2.269648398704706,8.997508741787422,3.941701016432922,0.18152419624166813
2.699993980225347,0.4546189510891655,2.0064427229166997,3.2312557257918724,3.566227383350951,2.4445700098590835,2.8823534562350206,0.767734607893124,0.7882256895660977,0.20929563737333526,0.47614817320875774,1.0462744648060263,0.41127795751704094,0.2822277179295555,2.2696484975193107,8.998880024537087,3.941696165051977,0.18152426322527693
2.6999944465317647,0.45461890221828904,2.0064410677131908,3.2312558783624517,3.5662271057329233,2.4445699863526755,2.882353819950982,0.7677346737563175,0.7882255665371819,0.20929568116948002,0.47614825623568463,1.0462744256782592,0.41127795653822835,0.2822276966511086,2.269648498371443,9.002669343310632,3.941693316938336,0.181524039437486
2.6999933435164607,0.45461895734452323,2.006435233262463,3.2312559386260515,3.566227375235451,2.4445696612654944,2.882353539303219,0.7677347384316554,0.7882256857222824,0.2092956963103042,0.4761482442197537,1.0462742983345987,0.41127798275094213,0.28222776151034557,2.26964865994087,9.002830519100483,3.9416918810675132,0.1815240170594484
2.6999932249603864,0.45461894918569856,2.006433973183473,3.231255818156085,3.5662271553516796,2.444569514597008,2.8823535046163995,0.7677347966886328,0.7882256224976505,0.20929570281158755,0.47614826357717094,1.046274188419507,0.41127797430565494,0.2822277958370455,2.269648616480565,9.002962583943525,3.9416925822035376,0.18152392769185982
2.699993160085147,0.4546188844762227,2.0064213451167063,3.2312545643232986,3.566227326045602,2.444569888864952,2.8823534149783288,0.7677345319505401,0.7882256733684934,0.20929570366677416,0.47614832760195036,1.04627412982292,0.4112779945053852,0.2822277506066819,2.269649170706388,9.003585147592903,3.9416896087341837,0.18152393328187966
2.6999928872706795,0.45461891179070746,2.0064196823968308,3.231254420716929,3.5662279157881516,2.444569944126503,2.8823536876621896,0.7677346661567217,0.7882256690898406,0.20929571650875112,0.47614831269814994,1.0462740856400674,0.411278037198987,0.2822277641730733,2.2696495168506607,9.004151788502513,3.9416911340284084,0.18152384912679762
