,Gamma,Lognormal,Weibull,Exponential,Gamma 3p,Gen Lognormal
Gamma,0.0,-13527.378227498033,5451.7448401376605,9734.504215859342,205482.40122654324,-13705.279845475277
Lognormal,13527.378227498033,0.0,18979.123067635694,23261.882443357375,219009.77945404127,-177.9016179772443
Weibull,-5451.7448401376605,-18979.123067635694,0.0,4282.759375721682,200030.65638640558,-19157.024685612938
Exponential,-9734.504215859342,-23261.882443357375,-4282.759375721682,0.0,195747.8970106839,-23439.78406133462
Gamma 3p,-205482.40122654324,-219009.77945404127,-200030.65638640558,-195747.8970106839,0.0,-219187.68107201852
Gen Lognormal,13705.279845475277,177.9016179772443,19157.024685612938,23439.78406133462,219187.68107201852,0.0
