pivot_variant,Alpha,Delta,Gamma,Mu,Omicron
Alpha,1.0,2.13,1.56,1.68,4.61
Delta,0.61,1.0,0.75,0.8,2.33
Gamma,0.84,1.4,1.0,1.09,3.2
Mu,0.78,1.29,0.94,1.0,2.96
Omicron,0.3,0.51,0.38,0.41,1.0
