pivot_variant,Alpha,Delta,Gamma,Mu,Omicron
Alpha,1.0,1.84,1.35,1.45,3.92
Delta,0.55,1.0,0.73,0.79,2.13
Gamma,0.75,1.37,1.0,1.08,2.91
Mu,0.69,1.27,0.93,1.0,2.7
Omicron,0.26,0.47,0.34,0.37,1.0
