pivot_variant,Alpha,Delta,Gamma,Mu,Omicron
Alpha,0.0,0.76,0.27,0.39,1.88
Delta,-1.17,0.0,-0.52,-0.39,1.04
Gamma,-0.69,0.45,0.0,0.1,1.52
Mu,-0.81,0.34,-0.14,0.0,1.4
Omicron,-2.38,-1.32,-1.81,-1.69,0.0
