"date","year","week","lineage","n_seq_var","n_seq_tot","PointEst","Lower","Upper"
2021-12-24,"2022",21,"Other",24,105,0.228571428571429,0.158683928469414,0.31761857043496
2021-12-24,"2022",21,"Omicron",81,105,0.771428571428571,0.68238142956504,0.841316071530586
2021-12-31,"2022",22,"Other",33,113,0.292035398230089,0.216143061952645,0.381602460275672
2021-12-31,"2022",22,"Omicron",80,113,0.707964601769911,0.618397539724328,0.783856938047355
2022-01-07,"2022",23,"Other",50,125,0.4,0.318337673278728,0.487625405462938
2022-01-07,"2022",23,"Omicron",75,125,0.6,0.512374594537062,0.681662326721272
2022-01-14,"2022",24,"Other",38,147,0.258503401360544,0.194515859217688,0.334791265261942
2022-01-14,"2022",24,"Omicron",109,147,0.741496598639456,0.665208734738058,0.805484140782312
2022-01-21,"2022",25,"Other",9,61,0.147540983606557,0.0796116850793276,0.257232352947211
2022-01-21,"2022",25,"Omicron",52,61,0.852459016393443,0.742767647052789,0.920388314920672
2022-01-28,"2022",26,"Other",8,108,0.0740740740740741,0.0380102486980713,0.139396761456403
2022-01-28,"2022",26,"Omicron",100,108,0.925925925925926,0.860603238543597,0.961989751301929
2022-02-04,"2022",27,"Other",8,76,0.105263157894737,0.0543112618282191,0.194199463223205
2022-02-04,"2022",27,"Omicron",68,76,0.894736842105263,0.805800536776795,0.945688738171781
2022-02-11,"2022",28,"Other",4,93,0.043010752688172,0.0168511539937585,0.105425595705139
2022-02-11,"2022",28,"Omicron",89,93,0.956989247311828,0.894574404294861,0.983148846006242
2022-02-18,"2022",29,"Other",2,7,0.285714285714286,0.0822189240040567,0.641065548167381
2022-02-18,"2022",29,"Omicron",5,7,0.714285714285714,0.358934451832619,0.917781075995943
2022-02-25,"2022",30,"Omicron",1,1,1,0.0512932943875506,1
2022-03-04,"2022",31,"Omicron",1,1,1,0.0512932943875506,1
